Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
11 6 2016,7:00 pm,MIL,75,DAL,86,Box Score,OT,19345,
11 6 2016,9:30 pm,PHX,108,LAL,119,Box Score,,18997,
11 6 2016,3:30 pm,POR,100,MEM,94,Box Score,,16233,
11 6 2016,12:00 pm,UTA,114,NYK,109,Box Score,,19812,
11 6 2016,6:00 pm,SAC,96,TOR,91,Box Score,,19800,
11 7 2016,8:00 pm,ORL,80,CHI,112,Box Score,,21320,
11 7 2016,7:00 pm,IND,100,CHA,122,Box Score,,16880,
11 7 2016,10:30 pm,NOP,106,GSW,116,Box Score,,19596,
11 7 2016,10:30 pm,DET,82,LAC,114,Box Score,,19060,
11 7 2016,8:00 pm,MIA,85,OKC,97,Box Score,,18203,
11 7 2016,7:00 pm,UTA,109,PHI,84,Box Score,,14168,
11 7 2016,7:00 pm,HOU,114,WAS,106,Box Score,,13173,
11 8 2016,7:30 pm,MIN,110,BKN,119,Box Score,,13610,
11 8 2016,7:00 pm,ATL,110,CLE,106,Box Score,,20562,
11 8 2016,10:30 pm,DAL,109,LAL,97,Box Score,,18997,
11 8 2016,8:00 pm,DEN,107,MEM,108,Box Score,,15109,
11 8 2016,10:00 pm,PHX,121,POR,124,Box Score,,19239,
11 8 2016,10:30 pm,NOP,94,SAC,102,Box Score,,17608,
11 9 2016,7:30 pm,CHI,107,ATL,115,Box Score,,16354,
11 9 2016,7:00 pm,UTA,98,CHA,104,Box Score,,15712,
11 9 2016,10:30 pm,DAL,95,GSW,116,Box Score,,19596,
11 9 2016,7:00 pm,PHI,115,IND,122,Box Score,OT,15360,
11 9 2016,10:30 pm,POR,80,LAC,111,Box Score,,19060,
11 9 2016,7:00 pm,BKN,96,NYK,110,Box Score,,19812,
11 9 2016,8:00 pm,TOR,112,OKC,102,Box Score,,18203,
11 9 2016,7:00 pm,MIN,123,ORL,107,Box Score,,17102,
11 9 2016,9:00 pm,DET,100,PHX,107,Box Score,,16719,
11 9 2016,9:30 pm,HOU,101,SAS,99,Box Score,,18418,
11 9 2016,7:00 pm,BOS,93,WAS,118,Box Score,,12675,
11 10 2016,9:00 pm,GSW,125,DEN,101,Box Score,,17569,
11 10 2016,8:00 pm,CHI,98,MIA,95,Box Score,,19600,
11 10 2016,8:00 pm,NOP,112,MIL,106,Box Score,,12159,
11 10 2016,10:30 pm,LAL,101,SAC,91,Box Score,,17608,
11 11 2016,7:30 pm,NYK,87,BOS,115,Box Score,,18624,
11 11 2016,7:00 pm,TOR,113,CHA,111,Box Score,,18107,
11 11 2016,8:00 pm,LAC,110,OKC,108,Box Score,,18203,
11 11 2016,7:00 pm,UTA,87,ORL,74,Box Score,,18846,
11 11 2016,7:00 pm,IND,105,PHI,109,Box Score,OT,17643,
11 11 2016,10:00 pm,SAC,120,POR,122,Box Score,OT,19918,
11 11 2016,8:30 pm,DET,86,SAS,96,Box Score,,18418,
11 11 2016,7:00 pm,CLE,105,WAS,94,Box Score,,20356,
11 12 2016,7:30 pm,PHI,96,ATL,117,Box Score,,17399,
11 12 2016,8:00 pm,WAS,95,CHI,106,Box Score,,21962,
11 12 2016,9:00 pm,DET,106,DEN,95,Box Score,,13997,
11 12 2016,8:00 pm,SAS,106,HOU,100,Box Score,,18055,
11 12 2016,7:00 pm,BOS,105,IND,99,Box Score,,17923,
11 12 2016,8:00 pm,UTA,102,MIA,91,Box Score,,19600,
11 12 2016,8:30 pm,MEM,96,MIL,106,Box Score,,14327,
11 12 2016,8:00 pm,LAC,119,MIN,105,Box Score,,14494,
11 12 2016,7:00 pm,LAL,126,NOP,99,Box Score,,17138,
11 12 2016,9:00 pm,BKN,122,PHX,104,Box Score,,17126,
11 12 2016,7:30 pm,NYK,107,TOR,118,Box Score,,19800,
11 13 2016,3:30 pm,CHA,93,CLE,100,Box Score,,20562,
11 13 2016,8:00 pm,PHX,120,GSW,133,Box Score,,19596,
11 13 2016,7:00 pm,LAL,99,MIN,125,Box Score,,14432,
11 13 2016,7:00 pm,ORL,119,OKC,117,Box Score,,18203,
11 13 2016,9:00 pm,DEN,105,POR,112,Box Score,,19362,
11 14 2016,7:30 pm,OKC,88,DET,104,Box Score,,14172,
11 14 2016,8:00 pm,PHI,88,HOU,115,Box Score,,13183,
11 14 2016,7:00 pm,ORL,69,IND,88,Box Score,,14825,
11 14 2016,10:30 pm,BKN,95,LAC,127,Box Score,,19060,
11 14 2016,8:00 pm,BOS,105,NOP,106,Box Score,,15001,
11 14 2016,7:30 pm,DAL,77,NYK,93,Box Score,,19812,
