Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
12 14 2016,7:00 pm,CHA,106,WAS,109,Box Score,,13447,
12 15 2016,9:00 pm,POR,120,DEN,132,Box Score,,10022,
12 15 2016,10:30 pm,NYK,90,GSW,103,Box Score,,19596,
12 15 2016,8:00 pm,CHI,97,MIL,108,Box Score,,16704,
12 15 2016,8:00 pm,IND,95,NOP,102,Box Score,,15472,
12 15 2016,9:00 pm,SAS,107,PHX,92,Box Score,,17165,
12 16 2016,7:30 pm,CHA,88,BOS,96,Box Score,,18624,
12 16 2016,8:00 pm,MIL,95,CHI,69,Box Score,,21324,
12 16 2016,8:00 pm,NOP,100,HOU,122,Box Score,,16728,
12 16 2016,8:00 pm,SAC,96,MEM,92,Box Score,,15987,
12 16 2016,8:00 pm,LAC,102,MIA,98,Box Score,,19600,
12 16 2016,7:00 pm,BKN,111,ORL,118,Box Score,,17668,
12 16 2016,8:00 pm,LAL,100,PHI,89,Box Score,,20491,
12 16 2016,7:30 pm,ATL,125,TOR,121,Box Score,,19800,
12 16 2016,10:30 pm,DAL,100,UTA,103,Box Score,,18721,
12 16 2016,7:00 pm,DET,108,WAS,122,Box Score,,15573,
12 17 2016,7:30 pm,CHA,107,ATL,99,Box Score,,17918,
12 17 2016,7:30 pm,LAL,108,CLE,119,Box Score,,20562,
12 17 2016,9:00 pm,NYK,114,DEN,127,Box Score,,12042,
12 17 2016,7:00 pm,IND,105,DET,90,Box Score,,15231,
12 17 2016,10:30 pm,POR,90,GSW,135,Box Score,,19596,
12 17 2016,8:00 pm,HOU,111,MIN,109,Box Score,OT,14689,
12 17 2016,5:00 pm,PHX,101,OKC,114,Box Score,,18203,
12 18 2016,4:00 pm,SAC,79,DAL,99,Box Score,,19504,
12 18 2016,6:00 pm,UTA,82,MEM,73,Box Score,,15862,
12 18 2016,6:00 pm,BOS,105,MIA,95,Box Score,,19600,
12 18 2016,6:00 pm,TOR,109,ORL,79,Box Score,,17251,
12 18 2016,6:00 pm,BKN,107,PHI,108,Box Score,,16460,
12 18 2016,7:00 pm,NOP,100,SAS,113,Box Score,,18615,
12 18 2016,3:30 pm,LAC,110,WAS,117,Box Score,,17380,
12 19 2016,8:00 pm,DET,82,CHI,113,Box Score,,21400,
12 19 2016,9:00 pm,DAL,107,DEN,117,Box Score,,12581,
12 19 2016,7:00 pm,WAS,105,IND,107,Box Score,,17686,
12 19 2016,8:00 pm,PHX,108,MIN,115,Box Score,,12008,
12 19 2016,8:00 pm,ATL,110,OKC,108,Box Score,,18203,
12 20 2016,7:00 pm,LAL,113,CHA,117,Box Score,,19093,
12 20 2016,10:30 pm,UTA,74,GSW,104,Box Score,,19596,
12 20 2016,8:00 pm,SAS,102,HOU,100,Box Score,,18055,
12 20 2016,10:30 pm,DEN,102,LAC,119,Box Score,,19060,
12 20 2016,8:00 pm,BOS,112,MEM,109,Box Score,OT,16519,
12 20 2016,7:30 pm,ORL,136,MIA,130,Box Score,2OT,19600,
12 20 2016,8:00 pm,CLE,114,MIL,108,Box Score,OT,17053,
12 20 2016,7:30 pm,IND,111,NYK,118,Box Score,,19812,
12 20 2016,7:00 pm,NOP,108,PHI,93,Box Score,,16322,
12 20 2016,10:30 pm,POR,121,SAC,126,Box Score,,17608,
12 20 2016,7:30 pm,BKN,104,TOR,116,Box Score,,19800,
12 21 2016,7:30 pm,MIN,92,ATL,84,Box Score,,17578,
12 21 2016,8:00 pm,WAS,107,CHI,97,Box Score,,21358,
12 21 2016,7:00 pm,MIL,102,CLE,113,Box Score,,20562,
12 21 2016,7:30 pm,MEM,98,DET,86,Box Score,,16033,
12 21 2016,8:00 pm,OKC,121,NOP,110,Box Score,,16375,
12 21 2016,9:00 pm,HOU,125,PHX,111,Box Score,,18055,
12 21 2016,10:00 pm,DAL,96,POR,95,Box Score,,19393,
12 21 2016,9:00 pm,SAC,94,UTA,93,Box Score,,19195,
12 22 2016,7:30 pm,GSW,117,BKN,101,Box Score,,17732,
12 22 2016,7:00 pm,BOS,109,IND,102,Box Score,,17577,
12 22 2016,10:30 pm,SAS,101,LAC,106,Box Score,,19060,
12 22 2016,8:00 pm,LAL,107,MIA,115,Box Score,,19712,
12 22 2016,7:30 pm,ORL,95,NYK,106,Box Score,,19812,
12 23 2016,7:30 pm,OKC,117,BOS,112,Box Score,,18624,
12 23 2016,7:00 pm,CHI,91,CHA,103,Box Score,,19249,
12 23 2016,7:30 pm,BKN,99,CLE,119,Box Score,,20562,
12 23 2016,9:00 pm,ATL,109,DEN,108,Box Score,,13823,
12 23 2016,7:30 pm,GSW,119,DET,113,Box Score,,21012,
12 23 2016,10:30 pm,DAL,90,LAC,88,Box Score,,19060,
12 23 2016,8:00 pm,HOU,109,MEM,115,Box Score,,17454,
12 23 2016,8:00 pm,WAS,96,MIL,123,Box Score,,15921,
12 23 2016,8:00 pm,SAC,109,MIN,105,Box Score,,13288,
12 23 2016,8:00 pm,MIA,87,NOP,91,Box Score,,16322,
12 23 2016,7:00 pm,LAL,90,ORL,109,Box Score,,18846,
12 23 2016,9:00 pm,PHI,116,PHX,123,Box Score,,16535,
12 23 2016,10:00 pm,SAS,110,POR,90,Box Score,,19393,
12 23 2016,9:00 pm,TOR,104,UTA,98,Box Score,,19911,
12 25 2016,2:30 pm,GSW,108,CLE,109,Box Score,,20562,
12 25 2016,10:30 pm,LAC,102,LAL,111,Box Score,,18997,
12 25 2016,12:00 pm,BOS,119,NYK,114,Box Score,,19812,
12 25 2016,8:00 pm,MIN,100,OKC,112,Box Score,,18203,
12 25 2016,5:00 pm,CHI,100,SAS,119,Box Score,,18428,
12 26 2016,7:30 pm,CHA,118,BKN,120,Box Score,,17732,
12 26 2016,8:00 pm,IND,85,CHI,90,Box Score,,21922,
12 26 2016,7:30 pm,CLE,90,DET,106,Box Score,,18123,
12 26 2016,8:00 pm,PHX,115,HOU,131,Box Score,,18055,
12 26 2016,10:30 pm,DEN,106,LAC,102,Box Score,,19060,
12 26 2016,8:00 pm,ATL,90,MIN,104,Box Score,,15617,
12 26 2016,8:00 pm,DAL,104,NOP,111,Box Score,,15764,
12 26 2016,7:00 pm,MEM,102,ORL,112,Box Score,,17104,
12 26 2016,10:00 pm,TOR,95,POR,91,Box Score,,19393,
12 26 2016,10:30 pm,PHI,100,SAC,102,Box Score,,17608,
12 26 2016,7:00 pm,MIL,102,WAS,107,Box Score,,15773,
12 27 2016,7:30 pm,MEM,103,BOS,113,Box Score,,18624,
12 27 2016,8:30 pm,HOU,123,DAL,107,Box Score,,20425,
12 27 2016,10:30 pm,UTA,102,LAL,100,Box Score,,18997,
12 27 2016,7:30 pm,OKC,106,MIA,94,Box Score,,19977,
12 28 2016,7:30 pm,NYK,98,ATL,102,Box Score,OT,19066,
12 28 2016,8:00 pm,BKN,99,CHI,101,Box Score,,21957,
12 28 2016,9:00 pm,MIN,103,DEN,105,Box Score,,15093,
12 28 2016,7:30 pm,MIL,119,DET,94,Box Score,,17222,
12 28 2016,10:30 pm,TOR,111,GSW,121,Box Score,,19596,
12 28 2016,8:00 pm,LAC,98,NOP,102,Box Score,,16647,
12 28 2016,7:00 pm,CHA,120,ORL,101,Box Score,,18273,
12 28 2016,10:00 pm,SAC,89,POR,102,Box Score,,19665,
12 28 2016,8:30 pm,PHX,98,SAS,119,Box Score,,18418,
12 28 2016,7:00 pm,IND,105,WAS,111,Box Score,,16172,
12 29 2016,7:00 pm,MIA,82,CHA,91,Box Score,,19471,
12 29 2016,8:00 pm,BOS,118,CLE,124,Box Score,,20562,
12 29 2016,10:30 pm,DAL,101,LAL,89,Box Score,,18997,
12 29 2016,8:00 pm,OKC,80,MEM,114,Box Score,,18119,
12 29 2016,9:00 pm,TOR,91,PHX,99,Box Score,,18055,
12 29 2016,9:00 pm,PHI,83,UTA,100,Box Score,,19911,
12 30 2016,8:00 pm,DET,98,ATL,105,Box Score,,19009,
12 30 2016,7:30 pm,MIA,114,BOS,117,Box Score,,18624,
12 30 2016,9:00 pm,PHI,124,DEN,122,Box Score,,13619,
12 30 2016,10:30 pm,DAL,99,GSW,108,Box Score,,19596,
12 30 2016,8:00 pm,LAC,116,HOU,140,Box Score,,18055,
12 30 2016,4:00 pm,CHI,101,IND,111,Box Score,,17923,
12 30 2016,8:00 pm,MIL,99,MIN,116,Box Score,,17779,
12 30 2016,8:00 pm,NYK,92,NOP,104,Box Score,,18124,
12 30 2016,8:30 pm,POR,94,SAS,110,Box Score,,18418,
12 30 2016,7:00 pm,BKN,95,WAS,118,Box Score,,16461,
12 31 2016,7:00 pm,MIL,116,CHI,96,Box Score,,21838,
12 31 2016,7:00 pm,CLE,121,CHA,109,Box Score,,19519,
12 31 2016,8:00 pm,NYK,122,HOU,129,Box Score,,18055,
12 31 2016,8:00 pm,LAC,88,OKC,114,Box Score,,18203,
12 31 2016,5:00 pm,MEM,112,SAC,98,Box Score,,17608,
12 31 2016,8:00 pm,PHX,86,UTA,91,Box Score,,19911,
01 1 2017,6:00 pm,SAS,112,ATL,114,Box Score,OT,18088,
01 1 2017,6:00 pm,ORL,104,IND,117,Box Score,,17530,
01 1 2017,9:30 pm,TOR,123,LAL,114,Box Score,,18997,
01 1 2017,6:00 pm,DET,107,MIA,98,Box Score,,19844,
01 1 2017,7:00 pm,POR,95,MIN,89,Box Score,,15804,
01 2 2017,7:30 pm,UTA,101,BKN,89,Box Score,,15634,
01 2 2017,8:00 pm,CHA,111,CHI,118,Box Score,,21612,
01 2 2017,7:00 pm,NOP,82,CLE,90,Box Score,,20562,
01 2 2017,10:30 pm,DEN,119,GSW,127,Box Score,,19596,
01 2 2017,8:00 pm,WAS,91,HOU,101,Box Score,,16569,
01 2 2017,10:30 pm,PHX,98,LAC,109,Box Score,,19060,
01 2 2017,7:00 pm,OKC,94,MIL,98,Box Score,,17423,
01 2 2017,7:30 pm,ORL,115,NYK,103,Box Score,,19812,
01 3 2017,7:30 pm,UTA,104,BOS,115,Box Score,,18624,
01 3 2017,8:30 pm,WAS,105,DAL,113,Box Score,,19318,
01 3 2017,9:00 pm,SAC,120,DEN,113,Box Score,,11018,
01 3 2017,7:30 pm,IND,121,DET,116,Box Score,,13435,
01 3 2017,10:30 pm,MEM,102,LAL,116,Box Score,,18997,
01 3 2017,7:00 pm,MIN,91,PHI,93,Box Score,,17124,
01 3 2017,9:00 pm,MIA,90,PHX,99,Box Score,,16772,
01 3 2017,8:30 pm,TOR,82,SAS,110,Box Score,,18418,
01 4 2017,7:00 pm,OKC,112,CHA,123,Box Score,,18418,
01 4 2017,8:00 pm,CHI,106,CLE,94,Box Score,,20562,
01 4 2017,10:30 pm,POR,117,GSW,125,Box Score,,19596,
01 4 2017,10:30 pm,MEM,106,LAC,115,Box Score,,19060,
01 4 2017,7:30 pm,MIL,105,NYK,104,Box Score,,19812,
01 4 2017,7:00 pm,ATL,111,ORL,92,Box Score,,18846,
01 4 2017,10:30 pm,MIA,107,SAC,102,Box Score,,17608,
01 5 2017,8:30 pm,PHX,102,DAL,95,Box Score,,19570,
01 5 2017,9:00 pm,SAS,127,DEN,99,Box Score,,14391,
01 5 2017,7:30 pm,CHA,114,DET,115,Box Score,,13723,
01 5 2017,8:00 pm,OKC,116,HOU,118,Box Score,,18055,
01 5 2017,7:00 pm,BKN,109,IND,121,Box Score,,16421,
01 5 2017,8:00 pm,ATL,99,NOP,94,Box Score,,15003,
01 5 2017,10:30 pm,LAL,109,POR,118,Box Score,,19403,
01 5 2017,7:30 pm,UTA,93,TOR,101,Box Score,,19800,
01 6 2017,7:30 pm,PHI,106,BOS,110,Box Score,,18624,
01 6 2017,7:30 pm,CLE,116,BKN,108,Box Score,,17732,
01 6 2017,10:30 pm,MEM,128,GSW,119,Box Score,OT,19596,
01 6 2017,10:30 pm,MIA,100,LAL,127,Box Score,,18997,
01 6 2017,8:00 pm,NYK,116,MIL,111,Box Score,,18717,
01 6 2017,7:00 pm,HOU,100,ORL,93,Box Score,,19272,
01 6 2017,10:30 pm,LAC,106,SAC,98,Box Score,,17608,
01 6 2017,7:00 pm,MIN,105,WAS,112,Box Score,,18686,
01 7 2017,7:30 pm,NOP,108,BOS,117,Box Score,,18624,
01 7 2017,8:00 pm,TOR,118,CHI,123,Box Score,OT,21195,
01 7 2017,8:30 pm,ATL,97,DAL,82,Box Score,,19655,
01 7 2017,7:00 pm,NYK,109,IND,123,Box Score,,17367,
01 7 2017,8:00 pm,UTA,94,MIN,92,Box Score,,13945,
01 7 2017,8:00 pm,DEN,106,OKC,121,Box Score,,18203,
01 7 2017,8:30 pm,CHA,85,SAS,102,Box Score,,18418,
01 8 2017,12:00 pm,PHI,105,BKN,95,Box Score,,16123,
01 8 2017,3:30 pm,MIA,86,LAC,98,Box Score,,19060,
01 8 2017,9:30 pm,ORL,95,LAL,111,Box Score,,18997,
01 8 2017,8:00 pm,UTA,79,MEM,88,Box Score,,16112,
01 8 2017,2:00 pm,WAS,107,MIL,101,Box Score,,15311,
01 8 2017,8:30 pm,CLE,120,PHX,116,Box Score,,18055,
01 8 2017,9:00 pm,DET,125,POR,124,Box Score,2OT,13506,
01 8 2017,9:00 pm,GSW,117,SAC,106,Box Score,,17608,
01 8 2017,6:00 pm,HOU,129,TOR,122,Box Score,,19800,
01 9 2017,8:00 pm,OKC,109,CHI,94,Box Score,,21923,
01 9 2017,8:00 pm,DAL,92,MIN,101,Box Score,,9625,
01 9 2017,7:30 pm,NOP,110,NYK,96,Box Score,,19812,
01 10 2017,7:30 pm,ATL,117,BKN,97,Box Score,,13279,
01 10 2017,10:30 pm,MIA,95,GSW,107,Box Score,,19596,
01 10 2017,8:00 pm,CHA,114,HOU,121,Box Score,,16196,
01 10 2017,10:30 pm,POR,108,LAL,87,Box Score,,18483,
01 10 2017,10:30 pm,DET,94,SAC,100,Box Score,,17608,
01 10 2017,8:30 pm,MIL,109,SAS,107,Box Score,,18418,
01 10 2017,7:30 pm,BOS,106,TOR,114,Box Score,,19800,
01 10 2017,9:00 pm,CLE,92,UTA,100,Box Score,,19911,
01 10 2017,7:00 pm,CHI,99,WAS,101,Box Score,,14361,
01 11 2017,8:00 pm,WAS,108,BOS,117,Box Score,,18624,
01 11 2017,10:30 pm,ORL,96,LAC,105,Box Score,,19060,
01 11 2017,8:00 pm,HOU,105,MIN,119,Box Score,,13858,
01 11 2017,8:00 pm,MEM,95,OKC,103,Box Score,,18203,
01 11 2017,7:00 pm,NYK,97,PHI,98,Box Score,,18755,
01 11 2017,10:30 pm,CLE,86,POR,102,Box Score,,19393,
01 12 2017,7:30 pm,NOP,104,BKN,95,Box Score,,14352,
01 12 2017,3:00 pm,IND,112,DEN,140,Box Score,,18689,at London England
01 12 2017,10:30 pm,DET,107,GSW,127,Box Score,,19596,
01 12 2017,8:00 pm,CHI,89,NYK,104,Box Score,,19812,
01 12 2017,10:00 pm,DAL,113,PHX,108,Box Score,,19874,at Mexico City Mexico
01 12 2017,8:30 pm,LAL,94,SAS,134,Box Score,,18418,
01 13 2017,8:00 pm,BOS,103,ATL,101,Box Score,,18216,
01 13 2017,8:00 pm,MEM,110,HOU,105,Box Score,,18055,
01 13 2017,8:00 pm,MIA,108,MIL,116,Box Score,,17483,
01 13 2017,8:00 pm,OKC,86,MIN,96,Box Score,,16644,
01 13 2017,7:00 pm,CHA,93,PHI,102,Box Score,,18215,
01 13 2017,10:00 pm,ORL,115,POR,109,Box Score,,19344,
01 13 2017,10:30 pm,CLE,120,SAC,108,Box Score,,17608,
01 13 2017,7:30 pm,BKN,113,TOR,132,Box Score,,19800,
01 13 2017,10:30 pm,DET,77,UTA,110,Box Score,,19911,
01 14 2017,5:00 pm,NOP,99,CHI,107,Box Score,,21916,
01 14 2017,3:30 pm,LAL,97,LAC,113,Box Score,,19060,
01 14 2017,6:00 pm,SAS,105,PHX,108,Box Score,,20532,at Mexico City Mexico
01 14 2017,9:00 pm,ORL,107,UTA,114,Box Score,,19911,
01 14 2017,8:00 pm,PHI,93,WAS,109,Box Score,,17880,
01 15 2017,3:00 pm,MIL,98,ATL,111,Box Score,,14231,
01 15 2017,6:00 pm,HOU,137,BKN,112,Box Score,,17732,
01 15 2017,2:00 pm,MIN,87,DAL,98,Box Score,,19655,
01 15 2017,9:30 pm,DET,102,LAL,97,Box Score,,18997,
01 15 2017,9:00 pm,CHI,108,MEM,104,Box Score,,18119,
01 15 2017,9:00 pm,OKC,122,SAC,118,Box Score,,17608,
01 15 2017,3:00 pm,NYK,101,TOR,116,Box Score,,19800,
01 16 2017,7:30 pm,CHA,98,BOS,108,Box Score,,18624,
01 16 2017,5:00 pm,ORL,112,DEN,125,Box Score,,11217,
01 16 2017,8:00 pm,CLE,91,GSW,126,Box Score,,19596,
01 16 2017,4:00 pm,NOP,95,IND,98,Box Score,,15525,
01 16 2017,10:30 pm,OKC,98,LAC,120,Box Score,,19060,
01 16 2017,3:30 pm,PHI,113,MIL,104,Box Score,,13261,
01 16 2017,1:00 pm,ATL,108,NYK,107,Box Score,,19812,
01 16 2017,9:00 pm,UTA,106,PHX,101,Box Score,,16767,
01 16 2017,2:00 pm,POR,101,WAS,120,Box Score,,17395,
01 17 2017,7:30 pm,TOR,119,BKN,109,Box Score,,12874,
01 17 2017,8:00 pm,DAL,99,CHI,98,Box Score,,21294,
01 17 2017,10:30 pm,DEN,127,LAL,121,Box Score,,18412,
01 17 2017,7:30 pm,HOU,103,MIA,109,Box Score,,19600,
01 17 2017,8:30 pm,MIN,114,SAS,122,Box Score,,18418,
01 18 2017,7:30 pm,NYK,117,BOS,106,Box Score,,18624,
01 18 2017,7:00 pm,POR,85,CHA,107,Box Score,,15451,
01 18 2017,8:00 pm,ATL,95,DET,118,Box Score,,15159,
01 18 2017,10:30 pm,OKC,100,GSW,121,Box Score,,19596,
01 18 2017,8:00 pm,MIL,92,HOU,111,Box Score,,15782,
01 18 2017,8:00 pm,ORL,98,NOP,118,Box Score,,15818,
01 18 2017,7:00 pm,TOR,89,PHI,94,Box Score,,17223,
01 18 2017,10:30 pm,IND,106,SAC,100,Box Score,,17608,
01 18 2017,7:00 pm,MEM,101,WAS,104,Box Score,,15079,
01 19 2017,7:00 pm,PHX,103,CLE,118,Box Score,,20562,
01 19 2017,10:30 pm,MIN,104,LAC,101,Box Score,,19060,
01 19 2017,7:30 pm,DAL,95,MIA,99,Box Score,,19600,
01 19 2017,8:00 pm,WAS,113,NYK,110,Box Score,,19812,
01 19 2017,8:30 pm,DEN,104,SAS,118,Box Score,,18418,
01 20 2017,8:00 pm,CHI,93,ATL,102,Box Score,,16328,
01 20 2017,7:00 pm,TOR,78,CHA,113,Box Score,,18378,
01 20 2017,8:30 pm,UTA,112,DAL,107,Box Score,OT,19421,
01 20 2017,8:00 pm,GSW,125,HOU,108,Box Score,,18055,
01 20 2017,10:30 pm,IND,95,LAL,108,Box Score,,18997,
01 20 2017,8:00 pm,SAC,91,MEM,107,Box Score,,16991,
01 20 2017,8:00 pm,BKN,143,NOP,114,Box Score,,17004,
01 20 2017,7:00 pm,MIL,96,ORL,112,Box Score,,19307,
01 20 2017,7:00 pm,POR,92,PHI,93,Box Score,,19476,
01 21 2017,7:00 pm,PHI,93,ATL,110,Box Score,,15116,
01 21 2017,5:00 pm,POR,127,BOS,123,Box Score,OT,18624,
01 21 2017,9:00 pm,SAC,99,CHI,102,Box Score,,21606,
01 21 2017,7:00 pm,BKN,105,CHA,112,Box Score,,18583,
01 21 2017,8:30 pm,SAS,118,CLE,115,Box Score,OT,20562,
01 21 2017,9:00 pm,LAC,98,DEN,123,Box Score,,16056,
01 21 2017,6:00 pm,WAS,112,DET,113,Box Score,,18231,
01 21 2017,8:00 pm,HOU,119,MEM,95,Box Score,,18119,
01 21 2017,7:30 pm,MIL,97,MIA,109,Box Score,,19600,
01 21 2017,7:30 pm,PHX,107,NYK,105,Box Score,,19812,
01 21 2017,9:00 pm,IND,100,UTA,109,Box Score,,19911,
01 22 2017,3:30 pm,LAL,73,DAL,122,Box Score,,19484,
01 22 2017,7:00 pm,DEN,108,MIN,111,Box Score,,12788,
01 22 2017,12:00 pm,GSW,118,ORL,98,Box Score,,18846,
01 22 2017,6:00 pm,PHX,115,TOR,103,Box Score,,19800,
01 23 2017,7:30 pm,LAC,115,ATL,105,Box Score,,12853,
01 23 2017,7:30 pm,SAS,112,BKN,86,Box Score,,16643,
01 23 2017,7:00 pm,WAS,109,CHA,99,Box Score,,15285,
01 23 2017,7:30 pm,SAC,109,DET,104,Box Score,,14017,
01 23 2017,8:00 pm,NYK,109,IND,103,Box Score,,16015,
01 23 2017,7:30 pm,GSW,102,MIA,105,Box Score,,19600,
01 23 2017,8:00 pm,HOU,114,MIL,127,Box Score,,14016,
01 23 2017,8:00 pm,CLE,122,NOP,124,Box Score,,17758,
01 23 2017,9:00 pm,OKC,97,UTA,95,Box Score,,19911,
01 24 2017,9:00 pm,UTA,93,DEN,103,Box Score,,10867,
01 24 2017,7:00 pm,CHI,100,ORL,92,Box Score,,18846,
01 24 2017,7:00 pm,LAC,110,PHI,121,Box Score,,17591,
01 24 2017,9:00 pm,MIN,112,PHX,111,Box Score,,17241,
01 24 2017,7:00 pm,SAS,108,TOR,106,Box Score,,19800,
01 24 2017,7:00 pm,BOS,108,WAS,123,Box Score,,16387,
01 25 2017,7:30 pm,HOU,109,BOS,120,Box Score,,18624,
01 25 2017,7:30 pm,MIA,109,BKN,106,Box Score,,14929,
01 25 2017,8:00 pm,ATL,119,CHI,114,Box Score,,21445,
01 25 2017,8:00 pm,GSW,113,CHA,103,Box Score,,19639,
01 25 2017,7:00 pm,SAC,116,CLE,112,Box Score,OT,20562,
01 25 2017,8:30 pm,NYK,95,DAL,103,Box Score,,19750,
01 25 2017,8:00 pm,TOR,99,MEM,101,Box Score,,15904,
01 25 2017,8:00 pm,PHI,114,MIL,109,Box Score,,13663,
01 25 2017,8:00 pm,OKC,114,NOP,105,Box Score,,15277,
01 25 2017,10:30 pm,LAL,98,POR,105,Box Score,,19393,
01 26 2017,9:00 pm,PHX,120,DEN,127,Box Score,,12231,
01 26 2017,8:00 pm,IND,109,MIN,103,Box Score,,14862,
01 26 2017,8:00 pm,DAL,98,OKC,109,Box Score,,18203,
01 26 2017,10:30 pm,LAL,88,UTA,96,Box Score,,19911,
01 27 2017,8:00 pm,WAS,112,ATL,86,Box Score,,16968,
01 27 2017,7:30 pm,ORL,98,BOS,128,Box Score,,18624,
01 27 2017,8:00 pm,MIA,100,CHI,88,Box Score,,22082,
01 27 2017,7:30 pm,BKN,116,CLE,124,Box Score,,20562,
01 27 2017,7:00 pm,SAC,111,IND,115,Box Score,OT,17522,
01 27 2017,8:00 pm,SAS,103,NOP,119,Box Score,,17757,
01 27 2017,7:30 pm,CHA,107,NYK,110,Box Score,,19812,
01 27 2017,8:00 pm,HOU,123,PHI,118,Box Score,,20588,
01 27 2017,10:00 pm,MEM,109,POR,112,Box Score,,19558,
01 27 2017,7:30 pm,MIL,86,TOR,102,Box Score,,19800,
01 28 2017,7:00 pm,SAC,109,CHA,106,Box Score,,18597,
01 28 2017,8:30 pm,LAC,98,GSW,144,Box Score,,19596,
01 28 2017,7:30 pm,DET,103,MIA,116,Box Score,,19600,
01 28 2017,8:00 pm,BOS,112,MIL,108,Box Score,OT,18717,
01 28 2017,9:00 pm,BKN,109,MIN,129,Box Score,,14798,
01 28 2017,9:00 pm,DEN,123,PHX,112,Box Score,,18055,
01 28 2017,9:00 pm,MEM,102,UTA,95,Box Score,,19911,
01 29 2017,3:00 pm,NYK,139,ATL,142,Box Score,4OT,13643,
01 29 2017,7:00 pm,PHI,108,CHI,121,Box Score,,21606,
01 29 2017,3:30 pm,OKC,91,CLE,107,Box Score,,20562,
01 29 2017,6:00 pm,HOU,101,IND,120,Box Score,,17923,
01 29 2017,6:00 pm,WAS,107,NOP,94,Box Score,,16779,
01 29 2017,9:00 pm,GSW,113,POR,111,Box Score,,19393,
01 29 2017,7:00 pm,DAL,105,SAS,101,Box Score,,18418,
01 29 2017,6:00 pm,ORL,114,TOR,113,Box Score,,19800,
01 30 2017,8:00 pm,DET,109,BOS,113,Box Score,,18188,
01 30 2017,8:30 pm,CLE,97,DAL,104,Box Score,,20202,
01 30 2017,7:30 pm,BKN,96,MIA,104,Box Score,,19600,
01 30 2017,8:00 pm,ORL,105,MIN,111,Box Score,OT,11124,
01 30 2017,6:00 pm,SAC,119,PHI,122,Box Score,,15840,
01 30 2017,10:30 pm,MEM,115,PHX,96,Box Score,,16332,
01 31 2017,8:00 pm,SAC,83,HOU,105,Box Score,,15187,
01 31 2017,10:30 pm,DEN,116,LAL,120,Box Score,,18997,
01 31 2017,10:00 pm,CHA,98,POR,115,Box Score,,19393,
01 31 2017,8:30 pm,OKC,94,SAS,108,Box Score,,18418,
01 31 2017,7:00 pm,NOP,106,TOR,108,Box Score,OT,19800,
01 31 2017,7:00 pm,NYK,101,WAS,117,Box Score,,16683,
02 1 2017,7:30 pm,TOR,104,BOS,109,Box Score,,18624,
02 1 2017,7:30 pm,NYK,95,BKN,90,Box Score,,17732,
02 1 2017,7:00 pm,MIN,97,CLE,125,Box Score,,20562,
02 1 2017,8:30 pm,PHI,95,DAL,113,Box Score,,19263,
02 1 2017,9:00 pm,MEM,119,DEN,99,Box Score,,12020,
02 1 2017,7:30 pm,NOP,98,DET,118,Box Score,,14262,
02 1 2017,10:30 pm,CHA,111,GSW,126,Box Score,,19596,
02 1 2017,7:30 pm,ATL,93,MIA,116,Box Score,,19600,
02 1 2017,9:30 pm,CHI,128,OKC,100,Box Score,,18203,
02 1 2017,7:00 pm,IND,98,ORL,88,Box Score,,16662,
02 1 2017,9:00 pm,LAC,124,PHX,114,Box Score,,16191,
02 1 2017,9:00 pm,MIL,88,UTA,104,Box Score,,19694,
02 2 2017,8:00 pm,ATL,113,HOU,108,Box Score,,15602,
02 2 2017,10:30 pm,GSW,133,LAC,120,Box Score,,19385,
02 2 2017,8:30 pm,PHI,86,SAS,102,Box Score,,18418,
02 2 2017,7:00 pm,LAL,108,WAS,116,Box Score,,16473,
02 3 2017,8:00 pm,LAL,107,BOS,113,Box Score,,18624,
02 3 2017,7:30 pm,IND,106,BKN,97,Box Score,,14557,
02 3 2017,9:00 pm,MIL,117,DEN,121,Box Score,,18792,
02 3 2017,7:30 pm,MIN,108,DET,116,Box Score,,16934,
02 3 2017,8:00 pm,CHI,117,HOU,121,Box Score,OT,18055,
02 3 2017,8:00 pm,MEM,102,OKC,114,Box Score,,18203,
02 3 2017,7:00 pm,TOR,94,ORL,102,Box Score,,17141,
02 3 2017,10:30 pm,DAL,108,POR,104,Box Score,,19393,
02 3 2017,10:30 pm,PHX,105,SAC,103,Box Score,,17608,
02 4 2017,7:00 pm,ORL,86,ATL,113,Box Score,,16691,
02 4 2017,7:00 pm,DET,84,IND,105,Box Score,,17660,
02 4 2017,7:30 pm,PHI,102,MIA,125,Box Score,,19754,
02 4 2017,9:00 pm,MEM,107,MIN,99,Box Score,,15081,
02 4 2017,8:30 pm,CLE,111,NYK,104,Box Score,,19812,
02 4 2017,9:00 pm,MIL,137,PHX,112,Box Score,,17192,
02 4 2017,10:30 pm,GSW,106,SAC,109,Box Score,OT,17608,
02 4 2017,9:00 pm,DEN,97,SAS,121,Box Score,,18418,
02 4 2017,9:00 pm,CHA,98,UTA,105,Box Score,,19911,
02 4 2017,7:00 pm,NOP,91,WAS,105,Box Score,,19651,
02 5 2017,2:00 pm,LAC,102,BOS,107,Box Score,,18624,
02 5 2017,12:00 pm,TOR,103,BKN,95,Box Score,,14245,
02 5 2017,3:00 pm,POR,99,OKC,105,Box Score,,18203,
02 6 2017,7:30 pm,UTA,120,ATL,95,Box Score,,13126,
