Category: All categories

Day,Atlanta Hawks: (Worldwide),Sacramento Kings: (Worldwide),San Antonio Spurs: (Worldwide),Toronto Raptors: (Worldwide),Utah Jazz: (Worldwide)
2017-04-01,6,4,30,13,7
2017-04-02,5,4,22,12,7
2017-04-03,4,2,11,10,3
2017-04-04,3,2,10,9,3
2017-04-05,3,4,23,16,5
2017-04-06,5,2,22,15,3
2017-04-07,9,3,11,12,3
2017-04-08,9,5,23,18,7
2017-04-09,16,4,20,16,7
2017-04-10,9,4,10,10,4
2017-04-11,6,3,16,11,11
2017-04-12,7,5,10,13,5
2017-04-13,8,4,19,24,10
2017-04-14,5,2,10,13,4
2017-04-15,5,2,22,45,7
2017-04-16,22,2,54,33,31
2017-04-17,7,2,20,11,7
2017-04-18,7,2,46,22,8
2017-04-19,9,2,13,36,20
2017-04-20,11,2,19,18,5
2017-04-21,6,3,46,46,8
2017-04-22,13,1,27,45,26
2017-04-23,11,2,68,22,10
2017-04-24,8,1,19,26,30
2017-04-25,19,1,26,41,10
2017-04-26,11,2,74,17,33
2017-04-27,14,1,27,27,9
2017-04-28,9,1,80,60,14
2017-04-29,18,1,21,16,52
2017-04-30,5,1,30,15,57
2017-05-01,3,1,31,32,27
