Category: All categories

Day,Atlanta Hawks: (Worldwide),Los Angeles Lakers: (Worldwide),Memphis Grizzlies: (Worldwide),Miami Heat: (Worldwide),Milwaukee Bucks: (Worldwide)
2017-04-01,6,17,3,12,9
2017-04-02,5,17,3,11,9
2017-04-03,4,13,1,9,5
2017-04-04,2,11,2,6,5
2017-04-05,3,11,4,8,8
2017-04-06,4,20,4,11,5
2017-04-07,8,13,2,9,7
2017-04-08,9,22,3,14,5
2017-04-09,14,16,3,16,7
2017-04-10,9,23,2,12,6
2017-04-11,6,14,1,29,8
2017-04-12,7,20,2,13,7
2017-04-13,7,22,3,26,10
2017-04-14,5,13,2,7,6
2017-04-15,5,11,4,6,26
2017-04-16,20,12,12,6,23
2017-04-17,6,10,4,5,10
2017-04-18,6,10,14,4,17
2017-04-19,8,10,5,4,23
2017-04-20,11,9,5,4,12
2017-04-21,6,10,16,4,39
2017-04-22,13,10,7,4,37
2017-04-23,10,11,26,4,15
2017-04-24,7,11,6,3,16
2017-04-25,17,11,7,4,23
2017-04-26,11,10,19,4,11
2017-04-27,13,10,6,4,17
2017-04-28,8,9,23,3,34
2017-04-29,17,10,3,3,6
2017-04-30,4,11,2,4,4
2017-05-01,3,11,2,4,4
