Category: All categories

Day,Atlanta Hawks: (Worldwide),Golden State Warriors: (Worldwide),Houston Rockets: (Worldwide),Indiana Pacers: (Worldwide),Los Angeles Clippers: (Worldwide)
2017-04-01,3,34,11,2,3
2017-04-02,2,18,4,3,2
2017-04-03,2,26,4,5,1
2017-04-04,1,14,3,2,1
2017-04-05,1,31,3,4,2
2017-04-06,2,27,5,3,3
2017-04-07,4,12,3,3,2
2017-04-08,4,18,4,3,2
2017-04-09,7,34,4,3,4
2017-04-10,4,14,5,2,2
2017-04-11,3,26,5,4,4
2017-04-12,3,14,4,3,3
2017-04-13,3,26,6,7,6
2017-04-14,2,13,4,3,3
2017-04-15,2,17,4,19,4
2017-04-16,10,59,9,8,15
2017-04-17,3,25,26,8,3
2017-04-18,3,16,5,12,4
2017-04-19,4,19,7,3,11
2017-04-20,5,47,20,6,3
2017-04-21,3,16,7,21,4
2017-04-22,6,21,21,4,11
2017-04-23,5,60,23,17,5
2017-04-24,3,20,11,5,11
2017-04-25,8,53,9,2,4
2017-04-26,5,16,28,2,13
2017-04-27,6,13,5,1,4
2017-04-28,4,12,7,2,6
2017-04-29,8,15,6,1,21
2017-04-30,2,18,7,1,30
2017-05-01,1,16,9,1,12
