Category: All categories

Day,Atlanta Hawks: (Worldwide),Boston Celtics: (Worldwide),Brooklyn Nets: (Worldwide),Charlotte Hornets: (Worldwide),Chicago Bulls: (Worldwide)
2017-04-01,7,24,6,4,23
2017-04-02,6,26,7,6,24
2017-04-03,4,16,6,3,18
2017-04-04,3,13,5,4,14
2017-04-05,3,21,7,5,21
2017-04-06,5,43,6,4,15
2017-04-07,11,22,6,2,19
2017-04-08,11,17,9,5,23
2017-04-09,18,19,8,3,20
2017-04-10,11,18,5,2,16
2017-04-11,7,26,7,4,29
2017-04-12,8,18,6,3,21
2017-04-13,9,42,8,2,45
2017-04-14,5,17,3,2,18
2017-04-15,6,22,3,3,21
2017-04-16,25,71,3,2,46
2017-04-17,8,86,3,3,67
2017-04-18,8,28,3,2,29
2017-04-19,10,73,3,2,79
2017-04-20,13,22,3,2,27
2017-04-21,7,37,2,2,49
2017-04-22,15,69,3,2,73
2017-04-23,13,53,3,2,55
2017-04-24,9,66,3,2,62
2017-04-25,21,27,3,2,26
2017-04-26,13,35,3,2,34
2017-04-27,16,85,3,2,77
2017-04-28,10,31,2,2,31
2017-04-29,21,84,3,1,70
2017-04-30,5,100,3,2,18
2017-05-01,3,38,2,2,12
