G,Date,,,▲,,Opponent,,,Tm,Opp,W,L,Streak,Notes
24,Thu Dec 15 2016,8:00p ET,,Box Score,,Chicago Bulls,W,,108,97,12,12,W 1,
23,Mon Dec 12 2016,7:30p ET,,Box Score,@,Toronto Raptors,L,,100,122,11,12,L 3,
22,Sat Dec 10 2016,7:00p ET,,Box Score,@,Washington Wizards,L,,105,110,11,11,L 2,
21,Fri Dec 9 2016,8:00p ET,,Box Score,,Atlanta Hawks,L,,110,114,11,10,L 1,
20,Wed Dec 7 2016,8:00p ET,,Box Score,,Portland Trail Blazers,W,,115,107,11,9,W 1,
19,Mon Dec 5 2016,8:00p ET,,Box Score,,San Antonio Spurs,L,,96,97,10,9,L 1,
18,Sat Dec 3 2016,5:00p ET,,Box Score,,Brooklyn Nets,W,,112,103,10,8,W 4,
17,Thu Dec 1 2016,7:30p ET,,Box Score,@,Brooklyn Nets,W,,111,93,9,8,W 3,
16,Tue Nov 29 2016,8:00p ET,,Box Score,,Cleveland Cavaliers,W,,118,101,8,8,W 2,
15,Sun Nov 27 2016,6:00p ET,,Box Score,@,Orlando Magic,W,,104,96,7,8,W 1,
14,Fri Nov 25 2016,8:00p ET,,Box Score,,Toronto Raptors,L,,99,105,6,8,L 1,
13,Mon Nov 21 2016,8:00p ET,,Box Score,,Orlando Magic,W,,93,89,6,7,W 1,
12,Sat Nov 19 2016,8:30p ET,,Box Score,,Golden State Warriors,L,,121,124,5,7,L 3,
11,Thu Nov 17 2016,7:30p ET,,Box Score,@,Miami Heat,L,,73,96,5,6,L 2,
10,Wed Nov 16 2016,7:30p ET,,Box Score,@,Atlanta Hawks,L,,100,107,5,5,L 1,
9,Sat Nov 12 2016,8:30p ET,,Box Score,,Memphis Grizzlies,W,,106,96,5,4,W 1,
8,Thu Nov 10 2016,8:00p ET,,Box Score,,New Orleans Pelicans,L,,106,112,4,4,L 2,
7,Sun Nov 6 2016,7:00p ET,,Box Score,@,Dallas Mavericks,L,OT,75,86,4,3,L 1,
6,Sat Nov 5 2016,8:00p ET,,Box Score,,Sacramento Kings,W,,117,91,4,2,W 3,
5,Thu Nov 3 2016,8:00p ET,,Box Score,,Indiana Pacers,W,,125,107,3,2,W 2,
4,Tue Nov 1 2016,8:00p ET,,Box Score,@,New Orleans Pelicans,W,,117,113,2,2,W 1,
3,Sun Oct 30 2016,6:00p ET,,Box Score,@,Detroit Pistons,L,,83,98,1,2,L 1,
2,Sat Oct 29 2016,8:00p ET,,Box Score,,Brooklyn Nets,W,,110,108,1,1,W 1,
1,Wed Oct 26 2016,8:00p ET,,Box Score,,Charlotte Hornets,L,,96,107,0,1,L 1,
1,Wed Oct 18 2017,7:30p ET,,Box Score,@,Boston Celtics,W,,108,100,1,0,W 1,
2,Fri Oct 20 2017,7:00p ET,,Box Score,,Cleveland Cavaliers,L,,97,116,1,1,L 1,
3,Sat Oct 21 2017,8:30p ET,,Box Score,,Portland Trail Blazers,W,,113,110,2,1,W 1,
4,Mon Oct 23 2017,8:00p ET,,Box Score,,Charlotte Hornets,W,,103,94,3,1,W 2,
5,Thu Oct 26 2017,8:00p ET,,Box Score,,Boston Celtics,L,,89,96,3,2,L 1,
6,Sun Oct 29 2017,3:30p ET,,Box Score,@,Atlanta Hawks,W,,117,106,4,2,W 1,
7,Tue Oct 31 2017,8:00p ET,,Box Score,,Oklahoma City Thunder,L,,91,110,4,3,L 1,
8,Wed Nov 1 2017,7:00p ET,,Box Score,@,Charlotte Hornets,L,,121,126,4,4,L 2,
9,Fri Nov 3 2017,7:00p ET,,Box Score,@,Detroit Pistons,L,,96,105,4,5,L 3,
10,Tue Nov 7 2017,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,119,124,4,6,L 4,
11,Fri Nov 10 2017,9:00p ET,,Box Score,@,San Antonio Spurs,W,,94,87,5,6,W 1,
12,Sat Nov 11 2017,8:30p ET,,Box Score,,Los Angeles Lakers,W,,98,90,6,6,W 2,
13,Mon Nov 13 2017,8:00p ET,,Box Score,,Memphis Grizzlies,W,,110,103,7,6,W 3,
14,Wed Nov 15 2017,8:00p ET,,Box Score,,Detroit Pistons,W,,99,95,8,6,W 4,
15,Sat Nov 18 2017,9:00p ET,,Box Score,@,Dallas Mavericks,L,,79,111,8,7,L 1,
16,Mon Nov 20 2017,8:00p ET,,Box Score,,Washington Wizards,L,,88,99,8,8,L 2,
17,Wed Nov 22 2017,9:00p ET,,Box Score,@,Phoenix Suns,W,OT,113,107,9,8,W 1,
18,Sat Nov 25 2017,9:00p ET,,Box Score,@,Utah Jazz,L,,108,121,9,9,L 1,
19,Tue Nov 28 2017,10:00p ET,,Box Score,@,Sacramento Kings,W,,112,87,10,9,W 1,
20,Thu Nov 30 2017,10:00p ET,,Box Score,@,Portland Trail Blazers,W,,103,91,11,9,W 2,
21,Sat Dec 2 2017,8:30p ET,,Box Score,,Sacramento Kings,W,,109,104,12,9,W 3,
22,Mon Dec 4 2017,7:30p ET,,Box Score,@,Boston Celtics,L,,100,111,12,10,L 1,
23,Wed Dec 6 2017,8:00p ET,,Box Score,,Detroit Pistons,W,,104,100,13,10,W 1,
24,Fri Dec 8 2017,8:00p ET,,Box Score,,Dallas Mavericks,W,,109,102,14,10,W 2,
25,Sat Dec 9 2017,8:30p ET,,Box Score,,Utah Jazz,W,,117,100,15,10,W 3,
26,Wed Dec 13 2017,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,108,115,15,11,L 1,
