G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
59,Tue Feb 28 2017,7:30p ET,,Box Score,@,Detroit Pistons,L,OT,113,120,24,35,L 2,
60,Thu Mar 2 2017,10:30p ET,,Box Score,,Oklahoma City Thunder,W,,114,109,25,35,W 1,
61,Sat Mar 4 2017,10:00p ET,,Box Score,,Brooklyn Nets,W,,130,116,26,35,W 2,
62,Tue Mar 7 2017,8:00p ET,,Box Score,@,Oklahoma City Thunder,W,,126,121,27,35,W 3,
63,Thu Mar 9 2017,10:00p ET,,Box Score,,Philadelphia 76ers,W,OT,114,108,28,35,W 4,
64,Sat Mar 11 2017,10:00p ET,,Box Score,,Washington Wizards,L,OT,124,125,28,36,L 1,
65,Sun Mar 12 2017,9:00p ET,,Box Score,@,Phoenix Suns,W,,110,101,29,36,W 1,
66,Tue Mar 14 2017,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,77,100,29,37,L 1,
67,Wed Mar 15 2017,8:00p ET,,Box Score,@,San Antonio Spurs,W,,110,106,30,37,W 1,
68,Sat Mar 18 2017,6:00p ET,,Box Score,@,Atlanta Hawks,W,,113,97,31,37,W 2,
69,Sun Mar 19 2017,6:00p ET,,Box Score,@,Miami Heat,W,,115,104,32,37,W 3,
70,Tue Mar 21 2017,10:00p ET,,Box Score,,Milwaukee Bucks,L,,90,93,32,38,L 1,
71,Thu Mar 23 2017,10:00p ET,,Box Score,,New York Knicks,W,,110,95,33,38,W 1,
72,Sat Mar 25 2017,10:00p ET,,Box Score,,Minnesota Timberwolves,W,,112,100,34,38,W 2,
73,Sun Mar 26 2017,9:30p ET,,Box Score,@,Los Angeles Lakers,W,,97,81,35,38,W 3,
74,Tue Mar 28 2017,10:00p ET,,Box Score,,Denver Nuggets,W,,122,113,36,38,W 4,
75,Thu Mar 30 2017,10:30p ET,,Box Score,,Houston Rockets,W,,117,107,37,38,W 5,
76,Sat Apr 1 2017,10:00p ET,,Box Score,,Phoenix Suns,W,,130,117,38,38,W 6,
77,Mon Apr 3 2017,7:00p ET,,Box Score,@,Minnesota Timberwolves,L,,109,110,38,39,L 1,
78,Tue Apr 4 2017,9:00p ET,,Box Score,@,Utah Jazz,L,,87,106,38,40,L 2,
79,Thu Apr 6 2017,10:30p ET,,Box Score,,Minnesota Timberwolves,W,,105,98,39,40,W 1,
80,Sat Apr 8 2017,10:00p ET,,Box Score,,Utah Jazz,W,,101,86,40,40,W 2,
81,Mon Apr 10 2017,10:00p ET,,Box Score,,San Antonio Spurs,W,,99,98,41,40,W 3,
82,Wed Apr 12 2017,10:30p ET,,Box Score,,New Orleans Pelicans,L,,100,103,41,41,L 1,
1,Wed Oct 18 2017,10:00p ET,,Box Score,@,Phoenix Suns,W,,124,76,1,0,W 1,
2,Fri Oct 20 2017,7:00p ET,,Box Score,@,Indiana Pacers,W,,114,96,2,0,W 2,
3,Sat Oct 21 2017,8:30p ET,,Box Score,@,Milwaukee Bucks,L,,110,113,2,1,L 1,
4,Tue Oct 24 2017,10:00p ET,,Box Score,,New Orleans Pelicans,W,,103,93,3,1,W 1,
5,Thu Oct 26 2017,10:00p ET,,Box Score,,Los Angeles Clippers,L,,103,104,3,2,L 1,
6,Sat Oct 28 2017,10:00p ET,,Box Score,,Phoenix Suns,W,,114,107,4,2,W 1,
7,Mon Oct 30 2017,10:00p ET,,Box Score,,Toronto Raptors,L,,85,99,4,3,L 1,
8,Wed Nov 1 2017,9:00p ET,,Box Score,@,Utah Jazz,L,OT,103,112,4,4,L 2,
9,Thu Nov 2 2017,10:30p ET,,Box Score,,Los Angeles Lakers,W,,113,110,5,4,W 1,
10,Sun Nov 5 2017,9:00p ET,,Box Score,,Oklahoma City Thunder,W,,103,99,6,4,W 2,
11,Tue Nov 7 2017,10:00p ET,,Box Score,,Memphis Grizzlies,L,,97,98,6,5,L 1,
12,Fri Nov 10 2017,10:00p ET,,Box Score,,Brooklyn Nets,L,,97,101,6,6,L 2,
13,Mon Nov 13 2017,10:00p ET,,Box Score,,Denver Nuggets,W,,99,82,7,6,W 1,
14,Wed Nov 15 2017,10:00p ET,,Box Score,,Orlando Magic,W,,99,94,8,6,W 2,
15,Fri Nov 17 2017,10:00p ET,,Box Score,@,Sacramento Kings,L,,82,86,8,7,L 1,
16,Sat Nov 18 2017,10:00p ET,,Box Score,,Sacramento Kings,W,,102,90,9,7,W 1,
17,Mon Nov 20 2017,8:00p ET,,Box Score,@,Memphis Grizzlies,W,,100,92,10,7,W 2,
18,Wed Nov 22 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,L,,81,101,10,8,L 1,
19,Fri Nov 24 2017,12:00p ET,,Box Score,@,Brooklyn Nets,W,,127,125,11,8,W 1,
20,Sat Nov 25 2017,7:00p ET,,Box Score,@,Washington Wizards,W,,108,105,12,8,W 2,
21,Mon Nov 27 2017,7:30p ET,,Box Score,@,New York Knicks,W,,103,91,13,8,W 3,
22,Thu Nov 30 2017,10:00p ET,,Box Score,,Milwaukee Bucks,L,,91,103,13,9,L 1,
23,Sat Dec 2 2017,10:00p ET,,Box Score,,New Orleans Pelicans,L,,116,123,13,10,L 2,
24,Tue Dec 5 2017,10:00p ET,,Box Score,,Washington Wizards,L,,92,106,13,11,L 3,
25,Sat Dec 9 2017,10:00p ET,,Box Score,,Houston Rockets,L,,117,124,13,12,L 4,
26,Mon Dec 11 2017,10:30p ET,,Box Score,@,Golden State Warriors,L,,104,111,13,13,L 5,
27,Wed Dec 13 2017,7:30p ET,,Box Score,@,Miami Heat,W,,102,95,14,13,W 1,
28,Fri Dec 15 2017,7:00p ET,,Box Score,@,Orlando Magic,W,,95,88,15,13,W 2,
29,Sat Dec 16 2017,7:00p ET,,Box Score,@,Charlotte Hornets,W,,93,91,16,13,W 3,
30,Mon Dec 18 2017,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,107,108,16,14,L 1,
31,Wed Dec 20 2017,10:00p ET,,Box Score,,San Antonio Spurs,L,,91,93,16,15,L 2,
32,Fri Dec 22 2017,10:00p ET,,Box Score,,Denver Nuggets,L,,85,102,16,16,L 3,
33,Sat Dec 23 2017,9:30p ET,,Box Score,@,Los Angeles Lakers,W,,95,92,17,16,W 1,
34,Thu Dec 28 2017,10:30p ET,,Box Score,,Philadelphia 76ers,W,,114,110,18,16,W 2,
35,Sat Dec 30 2017,7:30p ET,,Box Score,@,Atlanta Hawks,L,,89,104,18,17,L 1,
36,Mon Jan 1 2018,8:00p ET,,Box Score,@,Chicago Bulls,W,OT,124,120,19,17,W 1,
37,Tue Jan 2 2018,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,110,127,19,18,L 1,
38,Fri Jan 5 2018,10:00p ET,,Box Score,,Atlanta Hawks,W,,110,89,20,18,W 1,
39,Sun Jan 7 2018,9:00p ET,,Box Score,,San Antonio Spurs,W,,111,110,21,18,W 2,
40,Tue Jan 9 2018,8:00p ET,,Box Score,@,Oklahoma City Thunder,W,,117,106,22,18,W 3,
41,Wed Jan 10 2018,8:00p ET,,Box Score,@,Houston Rockets,L,,112,121,22,19,L 1,
42,Fri Jan 12 2018,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,113,119,22,20,L 2,
43,Sun Jan 14 2018,9:00p ET,,Box Score,@,Minnesota Timberwolves,L,,103,120,22,21,L 3,
44,Tue Jan 16 2018,10:00p ET,,Box Score,,Phoenix Suns,W,,118,111,23,21,W 1,
45,Thu Jan 18 2018,10:00p ET,,Box Score,,Indiana Pacers,W,,100,86,24,21,W 2,
46,Sat Jan 20 2018,10:00p ET,,Box Score,,Dallas Mavericks,W,,117,108,25,21,W 3,
47,Mon Jan 22 2018,9:00p ET,,Box Score,@,Denver Nuggets,L,,101,104,25,22,L 1,
48,Wed Jan 24 2018,10:00p ET,,Box Score,,Minnesota Timberwolves,W,,123,114,26,22,W 1,
49,Fri Jan 26 2018,8:30p ET,,Box Score,@,Dallas Mavericks,W,,107,93,27,22,W 2,
50,Tue Jan 30 2018,10:30p ET,,Box Score,@,Los Angeles Clippers,W,,104,96,28,22,W 3,
51,Wed Jan 31 2018,10:00p ET,,Box Score,,Chicago Bulls,W,,124,108,29,22,W 4,
52,Fri Feb 2 2018,7:30p ET,,Box Score,@,Toronto Raptors,L,,105,130,29,23,L 1,
53,Sun Feb 4 2018,12:00p ET,,Box Score,@,Boston Celtics,L,,96,97,29,24,L 2,
54,Mon Feb 5 2018,7:00p ET,,Box Score,@,Detroit Pistons,L,,91,111,29,25,L 3,
55,Thu Feb 8 2018,10:00p ET,,Box Score,,Charlotte Hornets,W,OT,109,103,30,25,W 1,
56,Fri Feb 9 2018,10:30p ET,,Box Score,@,Sacramento Kings,W,,118,100,31,25,W 2,
57,Sun Feb 11 2018,9:00p ET,,Box Score,,Utah Jazz,L,,96,115,31,26,L 1,
58,Wed Feb 14 2018,10:30p ET,,Box Score,,Golden State Warriors,W,,123,117,32,26,W 1,
59,Fri Feb 23 2018,9:00p ET,,Box Score,@,Utah Jazz,W,,100,81,33,26,W 2,
60,Sat Feb 24 2018,9:00p ET,,Box Score,@,Phoenix Suns,W,,106,104,34,26,W 3,
61,Tue Feb 27 2018,10:00p ET,,Box Score,,Sacramento Kings,W,,116,99,35,26,W 4,
62,Thu Mar 1 2018,10:30p ET,,Box Score,,Minnesota Timberwolves,W,,108,99,36,26,W 5,
63,Sat Mar 3 2018,10:00p ET,,Box Score,,Oklahoma City Thunder,W,,108,100,37,26,W 6,
64,Mon Mar 5 2018,10:30p ET,,Box Score,@,Los Angeles Lakers,W,,108,103,38,26,W 7,
65,Tue Mar 6 2018,10:00p ET,,Box Score,,New York Knicks,W,,111,87,39,26,W 8,
66,Fri Mar 9 2018,10:00p ET,,Box Score,,Golden State Warriors,W,,125,108,40,26,W 9,
67,Mon Mar 12 2018,10:30p ET,,Box Score,,Miami Heat,W,,115,99,41,26,W 10,
68,Thu Mar 15 2018,10:00p ET,,Box Score,,Cleveland Cavaliers,W,,113,105,42,26,W 11,
69,Sat Mar 17 2018,10:00p ET,,Box Score,,Detroit Pistons,W,,100,87,43,26,W 12,
70,Sun Mar 18 2018,10:30p ET,,Box Score,@,Los Angeles Clippers,W,,122,109,44,26,W 13,
71,Tue Mar 20 2018,10:30p ET,,Box Score,,Houston Rockets,L,,111,115,44,27,L 1,
72,Fri Mar 23 2018,10:00p ET,,Box Score,,Boston Celtics,L,,100,105,44,28,L 2,
73,Sun Mar 25 2018,7:00p ET,,Box Score,@,Oklahoma City Thunder,W,,108,105,45,28,W 1,
74,Tue Mar 27 2018,8:00p ET,,Box Score,@,New Orleans Pelicans,W,,107,103,46,28,W 2,
75,Wed Mar 28 2018,8:00p ET,,Box Score,@,Memphis Grizzlies,L,,103,108,46,29,L 1,
76,Fri Mar 30 2018,10:30p ET,,Box Score,,Los Angeles Clippers,W,,105,96,47,29,W 1,
77,Sun Apr 1 2018,9:00p ET,,Box Score,,Memphis Grizzlies,W,,113,98,48,29,W 2,
78,Tue Apr 3 2018,8:30p ET,,Box Score,@,Dallas Mavericks,L,,109,115,48,30,L 1,
79,Thu Apr 5 2018,8:00p ET,,Box Score,@,Houston Rockets,L,,94,96,48,31,L 2,
80,Sat Apr 7 2018,9:00p ET,,Box Score,@,San Antonio Spurs,L,,105,116,48,32,L 3,
81,Mon Apr 9 2018,9:00p ET,,Box Score,@,Denver Nuggets,L,,82,88,48,33,L 4,
82,Wed Apr 11 2018,10:30p ET,,Box Score,,Utah Jazz,W,,102,93,49,33,W 1,
