G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Thu Oct 27 2016,7:30p ET,,Box Score,@,Atlanta Hawks,L,,99,114,0,1,L 1,
2,Sun Oct 30 2016,8:00p ET,,Box Score,@,Memphis Grizzlies,L,OT,103,112,0,2,L 2,
3,Wed Nov 2 2016,7:00p ET,,Box Score,,Toronto Raptors,L,,103,113,0,3,L 3,
4,Fri Nov 4 2016,7:00p ET,,Box Score,,Atlanta Hawks,W,,95,92,1,3,W 1,
5,Sat Nov 5 2016,7:00p ET,,Box Score,@,Orlando Magic,L,,86,88,1,4,L 1,
6,Mon Nov 7 2016,7:00p ET,,Box Score,,Houston Rockets,L,,106,114,1,5,L 2,
7,Wed Nov 9 2016,7:00p ET,,Box Score,,Boston Celtics,W,,118,93,2,5,W 1,
8,Fri Nov 11 2016,7:00p ET,,Box Score,,Cleveland Cavaliers,L,,94,105,2,6,L 1,
9,Sat Nov 12 2016,8:00p ET,,Box Score,@,Chicago Bulls,L,,95,106,2,7,L 2,
10,Wed Nov 16 2016,7:00p ET,,Box Score,@,Philadelphia 76ers,L,,102,109,2,8,L 3,
11,Thu Nov 17 2016,7:00p ET,,Box Score,,New York Knicks,W,,119,112,3,8,W 1,
12,Sat Nov 19 2016,7:00p ET,,Box Score,,Miami Heat,L,,111,114,3,9,L 1,
13,Mon Nov 21 2016,7:00p ET,,Box Score,,Phoenix Suns,W,,106,101,4,9,W 1,
14,Fri Nov 25 2016,7:00p ET,,Box Score,@,Orlando Magic,W,,94,91,5,9,W 2,
15,Sat Nov 26 2016,7:00p ET,,Box Score,,San Antonio Spurs,L,,100,112,5,10,L 1,
16,Mon Nov 28 2016,7:00p ET,,Box Score,,Sacramento Kings,W,OT,101,95,6,10,W 1,
17,Wed Nov 30 2016,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,OT,115,126,6,11,L 1,
18,Fri Dec 2 2016,8:30p ET,,Box Score,@,San Antonio Spurs,L,,105,107,6,12,L 2,
19,Mon Dec 5 2016,7:30p ET,,Box Score,@,Brooklyn Nets,W,,118,113,7,12,W 1,
20,Tue Dec 6 2016,7:00p ET,,Box Score,,Orlando Magic,L,,116,124,7,13,L 1,
21,Thu Dec 8 2016,7:00p ET,,Box Score,,Denver Nuggets,W,,92,85,8,13,W 1,
