G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
33,Mon Dec 26 2016,7:30p ET,,Box Score,,Cleveland Cavaliers,W,,106,90,15,18,W 1,
34,Wed Dec 28 2016,7:30p ET,,Box Score,,Milwaukee Bucks,L,,94,119,15,19,L 1,
35,Fri Dec 30 2016,8:00p ET,,Box Score,@,Atlanta Hawks,L,,98,105,15,20,L 2,
36,Sun Jan 1 2017,6:00p ET,,Box Score,@,Miami Heat,W,,107,98,16,20,W 1,
37,Tue Jan 3 2017,7:30p ET,,Box Score,,Indiana Pacers,L,,116,121,16,21,L 1,
38,Thu Jan 5 2017,7:30p ET,,Box Score,,Charlotte Hornets,W,,115,114,17,21,W 1,
39,Sun Jan 8 2017,9:00p ET,,Box Score,@,Portland Trail Blazers,W,2OT,125,124,18,21,W 2,
40,Tue Jan 10 2017,10:30p ET,,Box Score,@,Sacramento Kings,L,,94,100,18,22,L 1,
41,Thu Jan 12 2017,10:30p ET,,Box Score,@,Golden State Warriors,L,,107,127,18,23,L 2,
42,Fri Jan 13 2017,10:30p ET,,Box Score,@,Utah Jazz,L,,77,110,18,24,L 3,
43,Sun Jan 15 2017,9:30p ET,,Box Score,@,Los Angeles Lakers,W,,102,97,19,24,W 1,
44,Wed Jan 18 2017,8:00p ET,,Box Score,,Atlanta Hawks,W,,118,95,20,24,W 2,
45,Sat Jan 21 2017,6:00p ET,,Box Score,,Washington Wizards,W,,113,112,21,24,W 3,
46,Mon Jan 23 2017,7:30p ET,,Box Score,,Sacramento Kings,L,,104,109,21,25,L 1,
47,Sat Jan 28 2017,7:30p ET,,Box Score,@,Miami Heat,L,,103,116,21,26,L 2,
48,Mon Jan 30 2017,8:00p ET,,Box Score,@,Boston Celtics,L,,109,113,21,27,L 3,
49,Wed Feb 1 2017,7:30p ET,,Box Score,,New Orleans Pelicans,W,,118,98,22,27,W 1,
50,Fri Feb 3 2017,7:30p ET,,Box Score,,Minnesota Timberwolves,W,,116,108,23,27,W 2,
51,Sat Feb 4 2017,7:00p ET,,Box Score,@,Indiana Pacers,L,,84,105,23,28,L 1,
52,Mon Feb 6 2017,7:30p ET,,Box Score,,Philadelphia 76ers,W,,113,96,24,28,W 1,
53,Wed Feb 8 2017,7:30p ET,,Box Score,,Los Angeles Lakers,W,,121,102,25,28,W 2,
54,Fri Feb 10 2017,7:30p ET,,Box Score,,San Antonio Spurs,L,,92,103,25,29,L 1,
55,Sun Feb 12 2017,6:00p ET,,Box Score,@,Toronto Raptors,W,,102,101,26,29,W 1,
56,Mon Feb 13 2017,8:00p ET,,Box Score,@,Milwaukee Bucks,L,,89,102,26,30,L 1,
57,Wed Feb 15 2017,7:30p ET,,Box Score,,Dallas Mavericks,W,,98,91,27,30,W 1,
58,Thu Feb 23 2017,7:30p ET,,Box Score,,Charlotte Hornets,W,OT,114,108,28,30,W 2,
59,Sun Feb 26 2017,6:00p ET,,Box Score,,Boston Celtics,L,,98,104,28,31,L 1,
60,Tue Feb 28 2017,7:30p ET,,Box Score,,Portland Trail Blazers,W,OT,120,113,29,31,W 1,
61,Wed Mar 1 2017,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,86,109,29,32,L 1,
62,Sat Mar 4 2017,6:00p ET,,Box Score,@,Philadelphia 76ers,W,,136,106,30,32,W 1,
63,Mon Mar 6 2017,7:30p ET,,Box Score,,Chicago Bulls,W,,109,95,31,32,W 2,
64,Wed Mar 8 2017,8:00p ET,,Box Score,@,Indiana Pacers,L,,98,115,31,33,L 1,
65,Thu Mar 9 2017,7:30p ET,,Box Score,,Cleveland Cavaliers,W,,106,101,32,33,W 1,
66,Sat Mar 11 2017,5:00p ET,,Box Score,,New York Knicks,W,,112,92,33,33,W 2,
67,Tue Mar 14 2017,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,96,128,33,34,L 1,
68,Wed Mar 15 2017,7:30p ET,,Box Score,,Utah Jazz,L,,83,97,33,35,L 2,
69,Fri Mar 17 2017,7:30p ET,,Box Score,,Toronto Raptors,L,,75,87,33,36,L 3,
70,Sun Mar 19 2017,4:30p ET,,Box Score,,Phoenix Suns,W,,112,95,34,36,W 1,
71,Tue Mar 21 2017,7:30p ET,,Box Score,@,Brooklyn Nets,L,,96,98,34,37,L 1,
