G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
48,Fri Jan 26 2018,8:00p ET,,Box Score,,Los Angeles Clippers,L,,100,109,17,31,L 2,
49,Mon Jan 29 2018,8:00p ET,,Box Score,,Phoenix Suns,W,,120,109,18,31,W 1,
50,Wed Jan 31 2018,7:00p ET,,Box Score,@,Indiana Pacers,L,,101,105,18,32,L 1,
51,Thu Feb 1 2018,7:00p ET,,Box Score,@,Detroit Pistons,L,,102,104,18,33,L 2,
52,Sun Feb 4 2018,12:00p ET,,Box Score,@,Toronto Raptors,L,,86,101,18,34,L 3,
53,Tue Feb 6 2018,7:30p ET,,Box Score,@,Atlanta Hawks,L,,82,108,18,35,L 4,
54,Wed Feb 7 2018,8:00p ET,,Box Score,,Utah Jazz,L,,88,92,18,36,L 5,
55,Sun Feb 11 2018,7:00p ET,,Box Score,@,Oklahoma City Thunder,L,,92,110,18,37,L 6,
56,Wed Feb 14 2018,8:00p ET,,Box Score,,Oklahoma City Thunder,L,,114,121,18,38,L 7,
57,Fri Feb 23 2018,8:00p ET,,Box Score,,Cleveland Cavaliers,L,,89,112,18,39,L 8,
58,Sat Feb 24 2018,7:30p ET,,Box Score,@,Miami Heat,L,,89,115,18,40,L 9,
59,Mon Feb 26 2018,7:30p ET,,Box Score,@,Boston Celtics,L,,98,109,18,41,L 10,
60,Wed Feb 28 2018,8:00p ET,,Box Score,,Phoenix Suns,L,,102,110,18,42,L 11,
61,Fri Mar 2 2018,8:00p ET,,Box Score,,Denver Nuggets,L,,102,108,18,43,L 12,
62,Sat Mar 3 2018,7:00p ET,,Box Score,@,Orlando Magic,L,,100,107,18,44,L 13,
63,Mon Mar 5 2018,8:30p ET,,Box Score,@,San Antonio Spurs,L,,98,100,18,45,L 14,
64,Wed Mar 7 2018,8:00p ET,,Box Score,@,Chicago Bulls,L,,110,119,18,46,L 15,
65,Fri Mar 9 2018,8:00p ET,,Box Score,,Utah Jazz,L,,78,95,18,47,L 16,
66,Sat Mar 10 2018,8:30p ET,,Box Score,@,Dallas Mavericks,L,,80,114,18,48,L 17,
67,Mon Mar 12 2018,8:00p ET,,Box Score,,Milwaukee Bucks,L,,103,121,18,49,L 18,
68,Thu Mar 15 2018,8:00p ET,,Box Score,,Chicago Bulls,L,,110,111,18,50,L 19,
69,Sat Mar 17 2018,8:00p ET,,Box Score,,Denver Nuggets,W,,101,94,19,50,W 1,
70,Mon Mar 19 2018,7:30p ET,,Box Score,@,Brooklyn Nets,L,,115,118,19,51,L 1,
71,Wed Mar 21 2018,7:00p ET,,Box Score,@,Philadelphia 76ers,L,,105,119,19,52,L 2,
