G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
59,Sun Feb 26 2017,5:00p ET,,Box Score,@,Washington Wizards,W,,102,92,37,22,W 3,
60,Tue Feb 28 2017,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,106,109,37,23,L 1,
61,Wed Mar 1 2017,9:00p ET,,Box Score,,Minnesota Timberwolves,L,,80,107,37,24,L 2,
62,Fri Mar 3 2017,9:00p ET,,Box Score,,Brooklyn Nets,W,,112,97,38,24,W 1,
63,Sun Mar 5 2017,6:00p ET,,Box Score,@,Sacramento Kings,W,OT,110,109,39,24,W 2,
64,Mon Mar 6 2017,9:00p ET,,Box Score,,New Orleans Pelicans,W,,88,83,40,24,W 3,
65,Wed Mar 8 2017,8:00p ET,,Box Score,@,Houston Rockets,W,,115,108,41,24,W 4,
66,Sat Mar 11 2017,3:00p ET,,Box Score,@,Oklahoma City Thunder,L,,104,112,41,25,L 1,
67,Mon Mar 13 2017,9:00p ET,,Box Score,,Los Angeles Clippers,W,,114,108,42,25,W 1,
68,Wed Mar 15 2017,7:30p ET,,Box Score,@,Detroit Pistons,W,,97,83,43,25,W 2,
69,Thu Mar 16 2017,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,83,91,43,26,L 1,
70,Sat Mar 18 2017,9:00p ET,,Box Score,@,Chicago Bulls,L,,86,95,43,27,L 2,
71,Mon Mar 20 2017,7:00p ET,,Box Score,@,Indiana Pacers,L,,100,107,43,28,L 3,
72,Wed Mar 22 2017,10:30p ET,,Box Score,,New York Knicks,W,,108,101,44,28,W 1,
73,Sat Mar 25 2017,3:30p ET,,Box Score,@,Los Angeles Clippers,L,,95,108,44,29,L 1,
74,Mon Mar 27 2017,10:30p ET,,Box Score,,New Orleans Pelicans,W,,108,100,45,29,W 1,
75,Wed Mar 29 2017,10:30p ET,,Box Score,@,Sacramento Kings,W,,112,82,46,29,W 2,
76,Fri Mar 31 2017,9:00p ET,,Box Score,,Washington Wizards,W,,95,88,47,29,W 3,
77,Sun Apr 2 2017,3:30p ET,,Box Score,@,San Antonio Spurs,L,,103,109,47,30,L 1,
78,Tue Apr 4 2017,9:00p ET,,Box Score,,Portland Trail Blazers,W,,106,87,48,30,W 1,
79,Fri Apr 7 2017,9:00p ET,,Box Score,,Minnesota Timberwolves,W,,120,113,49,30,W 2,
80,Sat Apr 8 2017,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,86,101,49,31,L 1,
81,Mon Apr 10 2017,10:30p ET,,Box Score,@,Golden State Warriors,W,,105,99,50,31,W 1,
82,Wed Apr 12 2017,9:00p ET,,Box Score,,San Antonio Spurs,W,,101,97,51,31,W 2,
1,Wed Oct 18 2017,9:00p ET,,Box Score,,Denver Nuggets,W,,106,96,1,0,W 1,
2,Fri Oct 20 2017,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,97,100,1,1,L 1,
3,Sat Oct 21 2017,9:00p ET,,Box Score,,Oklahoma City Thunder,W,,96,87,2,1,W 1,
4,Tue Oct 24 2017,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,84,102,2,2,L 1,
5,Wed Oct 25 2017,10:00p ET,,Box Score,@,Phoenix Suns,L,,88,97,2,3,L 2,
6,Sat Oct 28 2017,9:00p ET,,Box Score,,Los Angeles Lakers,W,,96,81,3,3,W 1,
7,Mon Oct 30 2017,9:00p ET,,Box Score,,Dallas Mavericks,W,,104,89,4,3,W 2,
8,Wed Nov 1 2017,9:00p ET,,Box Score,,Portland Trail Blazers,W,OT,112,103,5,3,W 3,
9,Fri Nov 3 2017,9:00p ET,,Box Score,,Toronto Raptors,L,,100,109,5,4,L 1,
10,Sun Nov 5 2017,7:00p ET,,Box Score,@,Houston Rockets,L,,110,137,5,5,L 2,
11,Tue Nov 7 2017,9:00p ET,,Box Score,,Philadelphia 76ers,L,,97,104,5,6,L 3,
12,Fri Nov 10 2017,9:00p ET,,Box Score,,Miami Heat,L,,74,84,5,7,L 4,
13,Sat Nov 11 2017,9:00p ET,,Box Score,,Brooklyn Nets,W,,114,106,6,7,W 1,
14,Mon Nov 13 2017,9:00p ET,,Box Score,,Minnesota Timberwolves,L,,98,109,6,8,L 1,
15,Wed Nov 15 2017,7:30p ET,,Box Score,@,New York Knicks,L,,101,106,6,9,L 2,
16,Fri Nov 17 2017,7:30p ET,,Box Score,@,Brooklyn Nets,L,,107,118,6,10,L 3,
17,Sat Nov 18 2017,7:00p ET,,Box Score,@,Orlando Magic,W,,125,85,7,10,W 1,
18,Mon Nov 20 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,L,,86,107,7,11,L 1,
19,Wed Nov 22 2017,9:00p ET,,Box Score,,Chicago Bulls,W,,110,80,8,11,W 1,
20,Sat Nov 25 2017,9:00p ET,,Box Score,,Milwaukee Bucks,W,,121,108,9,11,W 2,
21,Tue Nov 28 2017,10:00p ET,,Box Score,,Denver Nuggets,W,,106,77,10,11,W 3,
22,Thu Nov 30 2017,10:30p ET,,Box Score,@,Los Angeles Clippers,W,,126,107,11,11,W 4,
23,Fri Dec 1 2017,9:00p ET,,Box Score,,New Orleans Pelicans,W,,114,108,12,11,W 5,
24,Mon Dec 4 2017,9:00p ET,,Box Score,,Washington Wizards,W,,116,69,13,11,W 6,
25,Tue Dec 5 2017,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,94,100,13,12,L 1,
26,Thu Dec 7 2017,10:30p ET,,Box Score,,Houston Rockets,L,,101,112,13,13,L 2,
27,Sat Dec 9 2017,8:30p ET,,Box Score,@,Milwaukee Bucks,L,,100,117,13,14,L 3,
28,Wed Dec 13 2017,8:00p ET,,Box Score,@,Chicago Bulls,L,,100,103,13,15,L 4,
29,Fri Dec 15 2017,7:30p ET,,Box Score,@,Boston Celtics,W,,107,95,14,15,W 1,
30,Sat Dec 16 2017,7:30p ET,,Box Score,@,Cleveland Cavaliers,L,,100,109,14,16,L 1,
31,Mon Dec 18 2017,8:00p ET,,Box Score,@,Houston Rockets,L,,99,120,14,17,L 2,
32,Wed Dec 20 2017,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,79,107,14,18,L 3,
33,Thu Dec 21 2017,10:30p ET,,Box Score,,San Antonio Spurs,W,,100,89,15,18,W 1,
34,Sat Dec 23 2017,8:00p ET,,Box Score,,Oklahoma City Thunder,L,,89,103,15,19,L 1,
35,Tue Dec 26 2017,9:00p ET,,Box Score,@,Denver Nuggets,L,,83,107,15,20,L 2,
36,Wed Dec 27 2017,10:30p ET,,Box Score,@,Golden State Warriors,L,,101,126,15,21,L 3,
37,Sat Dec 30 2017,8:00p ET,,Box Score,,Cleveland Cavaliers,W,,104,101,16,21,W 1,
38,Wed Jan 3 2018,9:00p ET,,Box Score,,New Orleans Pelicans,L,,98,108,16,22,L 1,
