G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
19,Fri Dec 2 2016,7:30p ET,,Box Score,@,New York Knicks,L,,114,118,5,14,L 4,
20,Sat Dec 3 2016,7:00p ET,,Box Score,@,Charlotte Hornets,W,OT,125,120,6,14,W 1,
21,Tue Dec 6 2016,8:00p ET,,Box Score,,San Antonio Spurs,L,,91,105,6,15,L 1,
22,Thu Dec 8 2016,7:00p ET,,Box Score,@,Toronto Raptors,L,,110,124,6,16,L 2,
23,Fri Dec 9 2016,8:00p ET,,Box Score,,Detroit Pistons,L,,90,117,6,17,L 3,
24,Sun Dec 11 2016,7:00p ET,,Box Score,,Golden State Warriors,L,,108,116,6,18,L 4,
25,Tue Dec 13 2016,8:00p ET,,Box Score,@,Chicago Bulls,W,,99,94,7,18,W 1,
26,Sat Dec 17 2016,8:00p ET,,Box Score,,Houston Rockets,L,OT,109,111,7,19,L 1,
27,Mon Dec 19 2016,8:00p ET,,Box Score,,Phoenix Suns,W,,115,108,8,19,W 1,
28,Wed Dec 21 2016,7:30p ET,,Box Score,@,Atlanta Hawks,W,,92,84,9,19,W 2,
29,Fri Dec 23 2016,8:00p ET,,Box Score,,Sacramento Kings,L,,105,109,9,20,L 1,
30,Sun Dec 25 2016,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,100,112,9,21,L 2,
31,Mon Dec 26 2016,8:00p ET,,Box Score,,Atlanta Hawks,W,,104,90,10,21,W 1,
32,Wed Dec 28 2016,9:00p ET,,Box Score,@,Denver Nuggets,L,,103,105,10,22,L 1,
33,Fri Dec 30 2016,8:00p ET,,Box Score,,Milwaukee Bucks,W,,116,99,11,22,W 1,
34,Sun Jan 1 2017,7:00p ET,,Box Score,,Portland Trail Blazers,L,,89,95,11,23,L 1,
35,Tue Jan 3 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,L,,91,93,11,24,L 2,
36,Fri Jan 6 2017,7:00p ET,,Box Score,@,Washington Wizards,L,,105,112,11,25,L 3,
37,Sat Jan 7 2017,8:00p ET,,Box Score,,Utah Jazz,L,,92,94,11,26,L 4,
38,Mon Jan 9 2017,8:00p ET,,Box Score,,Dallas Mavericks,W,,101,92,12,26,W 1,
39,Wed Jan 11 2017,8:00p ET,,Box Score,,Houston Rockets,W,,119,105,13,26,W 2,
40,Fri Jan 13 2017,8:00p ET,,Box Score,,Oklahoma City Thunder,W,,96,86,14,26,W 3,
41,Sun Jan 15 2017,2:00p ET,,Box Score,@,Dallas Mavericks,L,,87,98,14,27,L 1,
42,Tue Jan 17 2017,8:30p ET,,Box Score,@,San Antonio Spurs,L,,114,122,14,28,L 2,
43,Thu Jan 19 2017,10:30p ET,,Box Score,@,Los Angeles Clippers,W,,104,101,15,28,W 1,
44,Sun Jan 22 2017,7:00p ET,,Box Score,,Denver Nuggets,W,,111,108,16,28,W 2,
45,Tue Jan 24 2017,9:00p ET,,Box Score,@,Phoenix Suns,W,,112,111,17,28,W 3,
46,Thu Jan 26 2017,8:00p ET,,Box Score,,Indiana Pacers,L,,103,109,17,29,L 1,
47,Sat Jan 28 2017,9:00p ET,,Box Score,,Brooklyn Nets,W,,129,109,18,29,W 1,
48,Mon Jan 30 2017,8:00p ET,,Box Score,,Orlando Magic,W,OT,111,105,19,29,W 2,
49,Wed Feb 1 2017,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,97,125,19,30,L 1,
50,Fri Feb 3 2017,7:30p ET,,Box Score,@,Detroit Pistons,L,,108,116,19,31,L 2,
51,Sat Feb 4 2017,9:00p ET,,Box Score,,Memphis Grizzlies,L,,99,107,19,32,L 3,
52,Mon Feb 6 2017,8:00p ET,,Box Score,,Miami Heat,L,,113,115,19,33,L 4,
53,Wed Feb 8 2017,8:00p ET,,Box Score,,Toronto Raptors,W,,112,109,20,33,W 1,
54,Fri Feb 10 2017,8:00p ET,,Box Score,,New Orleans Pelicans,L,,106,122,20,34,L 1,
55,Sun Feb 12 2017,3:30p ET,,Box Score,,Chicago Bulls,W,,117,89,21,34,W 1,
56,Tue Feb 14 2017,8:00p ET,,Box Score,,Cleveland Cavaliers,L,,108,116,21,35,L 1,
57,Wed Feb 15 2017,9:00p ET,,Box Score,@,Denver Nuggets,W,,112,99,22,35,W 1,
58,Fri Feb 24 2017,8:00p ET,,Box Score,,Dallas Mavericks,W,,97,84,23,35,W 2,
59,Sat Feb 25 2017,9:00p ET,,Box Score,@,Houston Rockets,L,,130,142,23,36,L 1,
60,Mon Feb 27 2017,10:30p ET,,Box Score,@,Sacramento Kings,W,,102,88,24,36,W 1,
61,Wed Mar 1 2017,9:00p ET,,Box Score,@,Utah Jazz,W,,107,80,25,36,W 2,
62,Sat Mar 4 2017,9:00p ET,,Box Score,@,San Antonio Spurs,L,OT,90,97,25,37,L 1,
63,Wed Mar 8 2017,8:00p ET,,Box Score,,Los Angeles Clippers,W,,107,91,26,37,W 1,
64,Fri Mar 10 2017,8:00p ET,,Box Score,,Golden State Warriors,W,,103,102,27,37,W 2,
65,Sat Mar 11 2017,8:00p ET,,Box Score,@,Milwaukee Bucks,L,,95,102,27,38,L 1,
66,Mon Mar 13 2017,8:00p ET,,Box Score,,Washington Wizards,W,,119,104,28,38,W 1,
67,Wed Mar 15 2017,7:30p ET,,Box Score,@,Boston Celtics,L,,104,117,28,39,L 1,
68,Fri Mar 17 2017,8:00p ET,,Box Score,@,Miami Heat,L,,105,123,28,40,L 2,
69,Sun Mar 19 2017,6:00p ET,,Box Score,@,New Orleans Pelicans,L,,109,123,28,41,L 3,
70,Tue Mar 21 2017,9:30p ET,,Box Score,,San Antonio Spurs,L,,93,100,28,42,L 4,
71,Fri Mar 24 2017,10:30p ET,,Box Score,@,Los Angeles Lakers,L,OT,119,130,28,43,L 5,
72,Sat Mar 25 2017,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,100,112,28,44,L 6,
73,Tue Mar 28 2017,7:00p ET,,Box Score,@,Indiana Pacers,W,,115,114,29,44,W 1,
74,Thu Mar 30 2017,8:00p ET,,Box Score,,Los Angeles Lakers,W,,119,104,30,44,W 2,
75,Sat Apr 1 2017,8:00p ET,,Box Score,,Sacramento Kings,L,,117,123,30,45,L 1,
76,Mon Apr 3 2017,7:00p ET,,Box Score,,Portland Trail Blazers,W,,110,109,31,45,W 1,
77,Tue Apr 4 2017,10:30p ET,,Box Score,@,Golden State Warriors,L,,107,121,31,46,L 1,
78,Thu Apr 6 2017,10:30p ET,,Box Score,@,Portland Trail Blazers,L,,98,105,31,47,L 2,
79,Fri Apr 7 2017,9:00p ET,,Box Score,@,Utah Jazz,L,,113,120,31,48,L 3,
80,Sun Apr 9 2017,9:30p ET,,Box Score,@,Los Angeles Lakers,L,,109,110,31,49,L 4,
81,Tue Apr 11 2017,8:00p ET,,Box Score,,Oklahoma City Thunder,L,,98,100,31,50,L 5,
82,Wed Apr 12 2017,8:00p ET,,Box Score,@,Houston Rockets,L,,118,123,31,51,L 6,
1,Wed Oct 18 2017,9:30p ET,,Box Score,@,San Antonio Spurs,L,,99,107,0,1,L 1,
2,Fri Oct 20 2017,8:00p ET,,Box Score,,Utah Jazz,W,,100,97,1,1,W 1,
3,Sun Oct 22 2017,7:00p ET,,Box Score,@,Oklahoma City Thunder,W,,115,113,2,1,W 2,
4,Tue Oct 24 2017,8:00p ET,,Box Score,,Indiana Pacers,L,,107,130,2,2,L 1,
5,Wed Oct 25 2017,7:00p ET,,Box Score,@,Detroit Pistons,L,,101,122,2,3,L 2,
6,Fri Oct 27 2017,8:00p ET,,Box Score,,Oklahoma City Thunder,W,,119,116,3,3,W 1,
7,Mon Oct 30 2017,7:30p ET,,Box Score,@,Miami Heat,W,OT,125,122,4,3,W 2,
8,Wed Nov 1 2017,8:00p ET,,Box Score,@,New Orleans Pelicans,W,,104,98,5,3,W 3,
9,Sat Nov 4 2017,8:00p ET,,Box Score,,Dallas Mavericks,W,,112,99,6,3,W 4,
10,Sun Nov 5 2017,8:00p ET,,Box Score,,Charlotte Hornets,W,,112,94,7,3,W 5,
11,Wed Nov 8 2017,10:30p ET,,Box Score,@,Golden State Warriors,L,,101,125,7,4,L 1,
12,Sat Nov 11 2017,9:00p ET,,Box Score,@,Phoenix Suns,L,,110,118,7,5,L 2,
13,Mon Nov 13 2017,9:00p ET,,Box Score,@,Utah Jazz,W,,109,98,8,5,W 1,
14,Wed Nov 15 2017,8:00p ET,,Box Score,,San Antonio Spurs,W,,98,86,9,5,W 2,
15,Fri Nov 17 2017,8:30p ET,,Box Score,@,Dallas Mavericks,W,,111,87,10,5,W 3,
16,Sun Nov 19 2017,7:00p ET,,Box Score,,Detroit Pistons,L,,97,100,10,6,L 1,
17,Mon Nov 20 2017,7:00p ET,,Box Score,@,Charlotte Hornets,L,,102,118,10,7,L 2,
18,Wed Nov 22 2017,8:00p ET,,Box Score,,Orlando Magic,W,,124,118,11,7,W 1,
19,Fri Nov 24 2017,8:00p ET,,Box Score,,Miami Heat,L,,97,109,11,8,L 1,
20,Sun Nov 26 2017,3:30p ET,,Box Score,,Phoenix Suns,W,,119,108,12,8,W 1,
21,Tue Nov 28 2017,8:00p ET,,Box Score,,Washington Wizards,L,,89,92,12,9,L 1,
22,Wed Nov 29 2017,8:00p ET,,Box Score,@,New Orleans Pelicans,W,,120,102,13,9,W 1,
23,Fri Dec 1 2017,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,107,111,13,10,L 1,
24,Sun Dec 3 2017,7:00p ET,,Box Score,,Los Angeles Clippers,W,,112,106,14,10,W 1,
25,Mon Dec 4 2017,8:00p ET,,Box Score,@,Memphis Grizzlies,L,,92,95,14,11,L 1,
26,Wed Dec 6 2017,10:30p ET,,Box Score,@,Los Angeles Clippers,W,,113,107,15,11,W 1,
27,Sun Dec 10 2017,7:00p ET,,Box Score,,Dallas Mavericks,W,,97,92,16,11,W 2,
28,Tue Dec 12 2017,9:30p ET,,Box Score,,Philadelphia 76ers,L,OT,112,118,16,12,L 1,
29,Thu Dec 14 2017,8:00p ET,,Box Score,,Sacramento Kings,W,,119,96,17,12,W 1,
30,Sat Dec 16 2017,8:00p ET,,Box Score,,Phoenix Suns,L,,106,108,17,13,L 1,
31,Mon Dec 18 2017,8:00p ET,,Box Score,,Portland Trail Blazers,W,,108,107,18,13,W 1,
32,Wed Dec 20 2017,9:00p ET,,Box Score,@,Denver Nuggets,W,,112,104,19,13,W 2,
33,Sat Dec 23 2017,9:00p ET,,Box Score,@,Phoenix Suns,W,,115,106,20,13,W 3,
34,Mon Dec 25 2017,10:30p ET,,Box Score,@,Los Angeles Lakers,W,,121,104,21,13,W 4,
35,Wed Dec 27 2017,8:00p ET,,Box Score,,Denver Nuggets,W,OT,128,125,22,13,W 5,
36,Thu Dec 28 2017,8:00p ET,,Box Score,@,Milwaukee Bucks,L,,96,102,22,14,L 1,
37,Sun Dec 31 2017,5:00p ET,,Box Score,@,Indiana Pacers,W,,107,90,23,14,W 1,
38,Mon Jan 1 2018,8:00p ET,,Box Score,,Los Angeles Lakers,W,,114,96,24,14,W 2,
39,Wed Jan 3 2018,7:30p ET,,Box Score,@,Brooklyn Nets,L,,97,98,24,15,L 1,
40,Fri Jan 5 2018,7:00p ET,,Box Score,@,Boston Celtics,L,,84,91,24,16,L 2,
41,Sat Jan 6 2018,9:00p ET,,Box Score,,New Orleans Pelicans,W,,116,98,25,16,W 1,
42,Mon Jan 8 2018,8:00p ET,,Box Score,,Cleveland Cavaliers,W,,127,99,26,16,W 2,
43,Wed Jan 10 2018,8:00p ET,,Box Score,,Oklahoma City Thunder,W,,104,88,27,16,W 3,
44,Fri Jan 12 2018,8:00p ET,,Box Score,,New York Knicks,W,,118,108,28,16,W 4,
45,Sun Jan 14 2018,9:00p ET,,Box Score,,Portland Trail Blazers,W,,120,103,29,16,W 5,
46,Tue Jan 16 2018,7:00p ET,,Box Score,@,Orlando Magic,L,,102,108,29,17,L 1,
47,Thu Jan 18 2018,9:30p ET,,Box Score,@,Houston Rockets,L,,98,116,29,18,L 2,
48,Sat Jan 20 2018,9:00p ET,,Box Score,,Toronto Raptors,W,,115,109,30,18,W 1,
49,Mon Jan 22 2018,10:30p ET,,Box Score,@,Los Angeles Clippers,W,,126,118,31,18,W 2,
50,Wed Jan 24 2018,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,114,123,31,19,L 1,
51,Thu Jan 25 2018,10:30p ET,,Box Score,@,Golden State Warriors,L,,113,126,31,20,L 2,
52,Sat Jan 27 2018,9:00p ET,,Box Score,,Brooklyn Nets,W,,111,97,32,20,W 1,
53,Mon Jan 29 2018,7:30p ET,,Box Score,@,Atlanta Hawks,L,,100,105,32,21,L 1,
54,Tue Jan 30 2018,7:30p ET,,Box Score,@,Toronto Raptors,L,,104,109,32,22,L 2,
55,Thu Feb 1 2018,8:00p ET,,Box Score,,Milwaukee Bucks,W,,108,89,33,22,W 1,
56,Sat Feb 3 2018,9:00p ET,,Box Score,,New Orleans Pelicans,W,,118,107,34,22,W 2,
57,Wed Feb 7 2018,8:00p ET,,Box Score,@,Cleveland Cavaliers,L,OT,138,140,34,23,L 1,
58,Fri Feb 9 2018,9:30p ET,,Box Score,@,Chicago Bulls,L,,113,114,34,24,L 2,
59,Sun Feb 11 2018,7:00p ET,,Box Score,,Sacramento Kings,W,,111,106,35,24,W 1,
60,Tue Feb 13 2018,8:00p ET,,Box Score,,Houston Rockets,L,,108,126,35,25,L 1,
61,Thu Feb 15 2018,9:00p ET,,Box Score,,Los Angeles Lakers,W,,119,111,36,25,W 1,
62,Fri Feb 23 2018,8:00p ET,,Box Score,@,Houston Rockets,L,,102,120,36,26,L 1,
63,Sat Feb 24 2018,9:00p ET,,Box Score,,Chicago Bulls,W,,122,104,37,26,W 1,
64,Mon Feb 26 2018,10:00p ET,,Box Score,@,Sacramento Kings,W,,118,100,38,26,W 2,
65,Thu Mar 1 2018,10:30p ET,,Box Score,@,Portland Trail Blazers,L,,99,108,38,27,L 1,
66,Fri Mar 2 2018,10:30p ET,,Box Score,@,Utah Jazz,L,,108,116,38,28,L 2,
67,Thu Mar 8 2018,8:00p ET,,Box Score,,Boston Celtics,L,,109,117,38,29,L 3,
68,Sun Mar 11 2018,3:30p ET,,Box Score,,Golden State Warriors,W,,109,103,39,29,W 1,
69,Tue Mar 13 2018,7:00p ET,,Box Score,@,Washington Wizards,W,,116,111,40,29,W 2,
70,Sat Mar 17 2018,8:30p ET,,Box Score,@,San Antonio Spurs,L,,101,117,40,30,L 1,
71,Sun Mar 18 2018,7:00p ET,,Box Score,,Houston Rockets,L,,120,129,40,31,L 2,
72,Tue Mar 20 2018,8:00p ET,,Box Score,,Los Angeles Clippers,W,,123,109,41,31,W 1,
73,Fri Mar 23 2018,7:30p ET,,Box Score,@,New York Knicks,W,,108,104,42,31,W 2,
74,Sat Mar 24 2018,6:00p ET,,Box Score,@,Philadelphia 76ers,L,,108,120,42,32,L 1,
75,Mon Mar 26 2018,8:00p ET,,Box Score,,Memphis Grizzlies,L,,93,101,42,33,L 2,
76,Wed Mar 28 2018,8:00p ET,,Box Score,,Atlanta Hawks,W,,126,114,43,33,W 1,
77,Fri Mar 30 2018,8:30p ET,,Box Score,@,Dallas Mavericks,W,,93,92,44,33,W 2,
78,Sun Apr 1 2018,7:00p ET,,Box Score,,Utah Jazz,L,,97,121,44,34,L 1,
79,Thu Apr 5 2018,10:30p ET,,Box Score,@,Denver Nuggets,L,,96,100,44,35,L 2,
80,Fri Apr 6 2018,10:30p ET,,Box Score,@,Los Angeles Lakers,W,,113,96,45,35,W 1,
81,Mon Apr 9 2018,8:00p ET,,Box Score,,Memphis Grizzlies,W,,113,94,46,35,W 2,
82,Wed Apr 11 2018,8:00p ET,,Box Score,,Denver Nuggets,W,OT,112,106,47,35,W 3,
