G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
59,Sat Feb 25 2017,8:30p ET,,Box Score,@,Cleveland Cavaliers,W,,117,99,30,29,W 4,
60,Tue Feb 28 2017,8:00p ET,,Box Score,,Denver Nuggets,L,,107,125,30,30,L 1,
61,Thu Mar 2 2017,8:00p ET,,Box Score,,Golden State Warriors,W,,94,87,31,30,W 1,
62,Sat Mar 4 2017,8:30p ET,,Box Score,,Los Angeles Clippers,L,,91,101,31,31,L 1,
63,Mon Mar 6 2017,7:30p ET,,Box Score,@,Detroit Pistons,L,,95,109,31,32,L 2,
64,Wed Mar 8 2017,7:00p ET,,Box Score,@,Orlando Magic,L,,91,98,31,33,L 3,
65,Fri Mar 10 2017,8:00p ET,,Box Score,,Houston Rockets,L,,94,115,31,34,L 4,
66,Sun Mar 12 2017,3:30p ET,,Box Score,@,Boston Celtics,L,,80,100,31,35,L 5,
67,Mon Mar 13 2017,7:00p ET,,Box Score,@,Charlotte Hornets,W,,115,109,32,35,W 1,
68,Wed Mar 15 2017,8:00p ET,,Box Score,,Memphis Grizzlies,L,,91,98,32,36,L 1,
69,Fri Mar 17 2017,7:00p ET,,Box Score,@,Washington Wizards,L,,107,112,32,37,L 2,
70,Sat Mar 18 2017,9:00p ET,,Box Score,,Utah Jazz,W,,95,86,33,37,W 1,
71,Tue Mar 21 2017,7:00p ET,,Box Score,@,Toronto Raptors,L,OT,120,122,33,38,L 1,
72,Wed Mar 22 2017,8:00p ET,,Box Score,,Detroit Pistons,W,,117,95,34,38,W 1,
73,Fri Mar 24 2017,8:00p ET,,Box Score,,Philadelphia 76ers,L,,107,117,34,39,L 1,
74,Sun Mar 26 2017,3:30p ET,,Box Score,@,Milwaukee Bucks,W,,109,94,35,39,W 1,
75,Thu Mar 30 2017,8:00p ET,,Box Score,,Cleveland Cavaliers,W,,99,93,36,39,W 2,
76,Sat Apr 1 2017,5:00p ET,,Box Score,,Atlanta Hawks,W,,106,104,37,39,W 3,
77,Sun Apr 2 2017,6:00p ET,,Box Score,@,New Orleans Pelicans,W,,117,110,38,39,W 4,
78,Tue Apr 4 2017,8:00p ET,,Box Score,@,New York Knicks,L,,91,100,38,40,L 1,
79,Thu Apr 6 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,W,,102,90,39,40,W 1,
80,Sat Apr 8 2017,5:00p ET,,Box Score,@,Brooklyn Nets,L,,106,107,39,41,L 1,
81,Mon Apr 10 2017,8:00p ET,,Box Score,,Orlando Magic,W,,122,75,40,41,W 1,
82,Wed Apr 12 2017,8:00p ET,,Box Score,,Brooklyn Nets,W,,112,73,41,41,W 2,
1,Thu Oct 19 2017,7:30p ET,,Box Score,@,Toronto Raptors,L,,100,117,0,1,L 1,
2,Sat Oct 21 2017,8:00p ET,,Box Score,,San Antonio Spurs,L,,77,87,0,2,L 2,
3,Tue Oct 24 2017,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,112,119,0,3,L 3,
4,Thu Oct 26 2017,8:00p ET,,Box Score,,Atlanta Hawks,W,,91,86,1,3,W 1,
5,Sat Oct 28 2017,8:00p ET,,Box Score,,Oklahoma City Thunder,L,,69,101,1,4,L 1,
6,Wed Nov 1 2017,7:30p ET,,Box Score,@,Miami Heat,L,,91,97,1,5,L 2,
7,Fri Nov 3 2017,7:00p ET,,Box Score,@,Orlando Magic,W,,105,83,2,5,W 1,
8,Sat Nov 4 2017,8:00p ET,,Box Score,,New Orleans Pelicans,L,OT,90,96,2,6,L 1,
9,Tue Nov 7 2017,7:30p ET,,Box Score,@,Toronto Raptors,L,,114,119,2,7,L 2,
10,Fri Nov 10 2017,8:00p ET,,Box Score,,Indiana Pacers,L,,87,105,2,8,L 3,
