G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
22,Sat Dec 2 2017,9:00p ET,,Box Score,,Los Angeles Lakers,W,,115,100,13,9,W 2,
23,Mon Dec 4 2017,8:30p ET,,Box Score,@,Dallas Mavericks,L,,105,122,13,10,L 1,
24,Wed Dec 6 2017,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,114,123,13,11,L 2,
25,Fri Dec 8 2017,7:00p ET,,Box Score,@,Orlando Magic,W,,103,89,14,11,W 1,
26,Sun Dec 10 2017,5:00p ET,,Box Score,@,Indiana Pacers,L,OT,116,126,14,12,L 1,
27,Tue Dec 12 2017,7:00p ET,,Box Score,@,Detroit Pistons,W,,103,84,15,12,W 1,
28,Wed Dec 13 2017,7:30p ET,,Box Score,@,Boston Celtics,L,,118,124,15,13,L 1,
29,Fri Dec 15 2017,9:00p ET,,Box Score,,New Orleans Pelicans,W,OT,117,111,16,13,W 1,
30,Mon Dec 18 2017,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,94,95,16,14,L 1,
31,Wed Dec 20 2017,9:00p ET,,Box Score,,Minnesota Timberwolves,L,,104,112,16,15,L 2,
32,Fri Dec 22 2017,10:00p ET,,Box Score,@,Portland Trail Blazers,W,,102,85,17,15,W 1,
33,Sat Dec 23 2017,8:30p ET,,Box Score,@,Golden State Warriors,W,,96,81,18,15,W 2,
34,Tue Dec 26 2017,9:00p ET,,Box Score,,Utah Jazz,W,,107,83,19,15,W 3,
35,Wed Dec 27 2017,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,OT,125,128,19,16,L 1,
36,Sat Dec 30 2017,9:00p ET,,Box Score,,Philadelphia 76ers,L,,102,107,19,17,L 2,
37,Wed Jan 3 2018,9:00p ET,,Box Score,,Phoenix Suns,W,,134,111,20,17,W 1,
38,Fri Jan 5 2018,9:00p ET,,Box Score,,Utah Jazz,W,,99,91,21,17,W 2,
39,Sat Jan 6 2018,10:00p ET,,Box Score,@,Sacramento Kings,L,,98,106,21,18,L 1,
40,Mon Jan 8 2018,10:30p ET,,Box Score,@,Golden State Warriors,L,,114,124,21,19,L 2,
41,Wed Jan 10 2018,9:00p ET,,Box Score,,Atlanta Hawks,L,,97,110,21,20,L 3,
42,Fri Jan 12 2018,9:00p ET,,Box Score,,Memphis Grizzlies,W,,87,78,22,20,W 1,
43,Sat Jan 13 2018,8:30p ET,,Box Score,@,San Antonio Spurs,L,,80,112,22,21,L 1,
44,Tue Jan 16 2018,9:00p ET,,Box Score,,Dallas Mavericks,W,,105,102,23,21,W 1,
