G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
59,Fri Feb 24 2017,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,93,110,19,40,L 3,
60,Sun Feb 26 2017,3:30p ET,,Box Score,,San Antonio Spurs,L,,98,119,19,41,L 4,
61,Tue Feb 28 2017,10:30p ET,,Box Score,,Charlotte Hornets,L,,104,109,19,42,L 5,
62,Fri Mar 3 2017,10:30p ET,,Box Score,,Boston Celtics,L,,95,115,19,43,L 6,
63,Sun Mar 5 2017,9:30p ET,,Box Score,,New Orleans Pelicans,L,,97,105,19,44,L 7,
64,Tue Mar 7 2017,8:30p ET,,Box Score,@,Dallas Mavericks,L,,111,122,19,45,L 8,
65,Thu Mar 9 2017,10:30p ET,,Box Score,@,Phoenix Suns,W,,122,110,20,45,W 1,
66,Sun Mar 12 2017,9:30p ET,,Box Score,,Philadelphia 76ers,L,,116,118,20,46,L 1,
67,Mon Mar 13 2017,10:30p ET,,Box Score,@,Denver Nuggets,L,,101,129,20,47,L 2,
68,Wed Mar 15 2017,8:00p ET,,Box Score,@,Houston Rockets,L,,100,139,20,48,L 3,
69,Fri Mar 17 2017,10:30p ET,,Box Score,,Milwaukee Bucks,L,,103,107,20,49,L 4,
70,Sun Mar 19 2017,9:30p ET,,Box Score,,Cleveland Cavaliers,L,,120,125,20,50,L 5,
71,Tue Mar 21 2017,10:30p ET,,Box Score,,Los Angeles Clippers,L,,109,133,20,51,L 6,
72,Fri Mar 24 2017,10:30p ET,,Box Score,,Minnesota Timberwolves,W,OT,130,119,21,51,W 1,
73,Sun Mar 26 2017,9:30p ET,,Box Score,,Portland Trail Blazers,L,,81,97,21,52,L 1,
74,Tue Mar 28 2017,10:30p ET,,Box Score,,Washington Wizards,L,,108,119,21,53,L 2,
75,Thu Mar 30 2017,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,104,119,21,54,L 3,
76,Sat Apr 1 2017,3:30p ET,,Box Score,@,Los Angeles Clippers,L,,104,115,21,55,L 4,
77,Sun Apr 2 2017,3:30p ET,,Box Score,,Memphis Grizzlies,W,,108,103,22,55,W 1,
78,Wed Apr 5 2017,8:30p ET,,Box Score,@,San Antonio Spurs,W,,102,95,23,55,W 2,
79,Fri Apr 7 2017,10:30p ET,,Box Score,,Sacramento Kings,W,,98,94,24,55,W 3,
80,Sun Apr 9 2017,9:30p ET,,Box Score,,Minnesota Timberwolves,W,,110,109,25,55,W 4,
81,Tue Apr 11 2017,10:30p ET,,Box Score,,New Orleans Pelicans,W,,108,96,26,55,W 5,
82,Wed Apr 12 2017,10:30p ET,,Box Score,@,Golden State Warriors,L,,94,109,26,56,L 1,
1,Thu Oct 19 2017,10:30p ET,,Box Score,,Los Angeles Clippers,L,,92,108,0,1,L 1,
2,Fri Oct 20 2017,10:00p ET,,Box Score,@,Phoenix Suns,W,,132,130,1,1,W 1,
3,Sun Oct 22 2017,9:30p ET,,Box Score,,New Orleans Pelicans,L,,112,119,1,2,L 1,
4,Wed Oct 25 2017,10:30p ET,,Box Score,,Washington Wizards,W,OT,102,99,2,2,W 1,
5,Fri Oct 27 2017,10:30p ET,,Box Score,,Toronto Raptors,L,,92,101,2,3,L 1,
6,Sat Oct 28 2017,9:00p ET,,Box Score,@,Utah Jazz,L,,81,96,2,4,L 2,
7,Tue Oct 31 2017,10:30p ET,,Box Score,,Detroit Pistons,W,,113,93,3,4,W 1,
8,Thu Nov 2 2017,10:30p ET,,Box Score,@,Portland Trail Blazers,L,,110,113,3,5,L 1,
9,Fri Nov 3 2017,10:30p ET,,Box Score,,Brooklyn Nets,W,,124,112,4,5,W 1,
10,Sun Nov 5 2017,9:30p ET,,Box Score,,Memphis Grizzlies,W,,107,102,5,5,W 2,
11,Wed Nov 8 2017,8:00p ET,,Box Score,@,Boston Celtics,L,,96,107,5,6,L 1,
12,Thu Nov 9 2017,7:00p ET,,Box Score,@,Washington Wizards,L,,95,111,5,7,L 2,
13,Sat Nov 11 2017,8:30p ET,,Box Score,@,Milwaukee Bucks,L,,90,98,5,8,L 3,
14,Mon Nov 13 2017,9:00p ET,,Box Score,@,Phoenix Suns,W,,100,93,6,8,W 1,
