G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
59,Sat Feb 25 2017,5:00p ET,,Box Score,,Charlotte Hornets,L,,85,99,25,34,L 1,
60,Mon Feb 27 2017,10:30p ET,,Box Score,,Minnesota Timberwolves,L,,88,102,25,35,L 2,
61,Wed Mar 1 2017,10:30p ET,,Box Score,,Brooklyn Nets,L,,100,109,25,36,L 3,
62,Sun Mar 5 2017,6:00p ET,,Box Score,,Utah Jazz,L,OT,109,110,25,37,L 4,
63,Mon Mar 6 2017,9:00p ET,,Box Score,@,Denver Nuggets,L,,96,108,25,38,L 5,
64,Wed Mar 8 2017,8:30p ET,,Box Score,@,San Antonio Spurs,L,,104,114,25,39,L 6,
65,Fri Mar 10 2017,10:30p ET,,Box Score,,Washington Wizards,L,OT,122,130,25,40,L 7,
66,Sat Mar 11 2017,10:30p ET,,Box Score,,Denver Nuggets,L,,92,105,25,41,L 8,
67,Mon Mar 13 2017,10:30p ET,,Box Score,,Orlando Magic,W,,120,115,26,41,W 1,
68,Wed Mar 15 2017,10:00p ET,,Box Score,@,Phoenix Suns,W,,107,101,27,41,W 2,
69,Sat Mar 18 2017,3:00p ET,,Box Score,@,Oklahoma City Thunder,L,,94,110,27,42,L 1,
70,Sun Mar 19 2017,7:00p ET,,Box Score,@,San Antonio Spurs,L,,102,118,27,43,L 2,
71,Wed Mar 22 2017,10:30p ET,,Box Score,,Milwaukee Bucks,L,,98,116,27,44,L 3,
72,Fri Mar 24 2017,10:30p ET,,Box Score,@,Golden State Warriors,L,,100,114,27,45,L 4,
73,Sun Mar 26 2017,3:30p ET,,Box Score,@,Los Angeles Clippers,W,,98,97,28,45,W 1,
74,Mon Mar 27 2017,10:30p ET,,Box Score,,Memphis Grizzlies,W,,91,90,29,45,W 2,
75,Wed Mar 29 2017,10:30p ET,,Box Score,,Utah Jazz,L,,82,112,29,46,L 1,
76,Fri Mar 31 2017,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,89,117,29,47,L 2,
77,Sat Apr 1 2017,8:00p ET,,Box Score,@,Minnesota Timberwolves,W,,123,117,30,47,W 1,
78,Tue Apr 4 2017,10:30p ET,,Box Score,,Dallas Mavericks,W,,98,87,31,47,W 2,
79,Fri Apr 7 2017,10:30p ET,,Box Score,@,Los Angeles Lakers,L,,94,98,31,48,L 1,
80,Sun Apr 9 2017,6:00p ET,,Box Score,,Houston Rockets,L,,128,135,31,49,L 2,
81,Tue Apr 11 2017,10:30p ET,,Box Score,,Phoenix Suns,W,,129,104,32,49,W 1,
82,Wed Apr 12 2017,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,95,115,32,50,L 1,
1,Wed Oct 18 2017,10:00p ET,,Box Score,,Houston Rockets,L,,100,105,0,1,L 1,
2,Fri Oct 20 2017,8:30p ET,,Box Score,@,Dallas Mavericks,W,,93,88,1,1,W 1,
3,Sat Oct 21 2017,9:00p ET,,Box Score,@,Denver Nuggets,L,,79,96,1,2,L 1,
4,Mon Oct 23 2017,10:00p ET,,Box Score,@,Phoenix Suns,L,,115,117,1,3,L 2,
5,Thu Oct 26 2017,10:30p ET,,Box Score,,New Orleans Pelicans,L,,106,114,1,4,L 3,
6,Sun Oct 29 2017,6:00p ET,,Box Score,,Washington Wizards,L,,83,110,1,5,L 4,
7,Tue Oct 31 2017,7:00p ET,,Box Score,@,Indiana Pacers,L,,83,101,1,6,L 5,
8,Wed Nov 1 2017,7:30p ET,,Box Score,@,Boston Celtics,L,,86,113,1,7,L 6,
9,Sat Nov 4 2017,7:00p ET,,Box Score,@,Detroit Pistons,L,,99,108,1,8,L 7,
10,Tue Nov 7 2017,10:00p ET,,Box Score,,Oklahoma City Thunder,W,,94,86,2,8,W 1,
11,Thu Nov 9 2017,10:00p ET,,Box Score,,Philadelphia 76ers,W,,109,108,3,8,W 2,
12,Sat Nov 11 2017,8:00p ET,,Box Score,@,New York Knicks,L,,91,118,3,9,L 1,
13,Mon Nov 13 2017,7:00p ET,,Box Score,@,Washington Wizards,L,,92,110,3,10,L 2,
14,Wed Nov 15 2017,7:30p ET,,Box Score,@,Atlanta Hawks,L,,80,126,3,11,L 3,
15,Fri Nov 17 2017,10:00p ET,,Box Score,,Portland Trail Blazers,W,,86,82,4,11,W 1,
16,Sat Nov 18 2017,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,90,102,4,12,L 1,
17,Mon Nov 20 2017,10:00p ET,,Box Score,,Denver Nuggets,L,,98,114,4,13,L 2,
18,Wed Nov 22 2017,10:30p ET,,Box Score,,Los Angeles Lakers,W,,113,102,5,13,W 1,
19,Sat Nov 25 2017,10:00p ET,,Box Score,,Los Angeles Clippers,L,,95,97,5,14,L 1,
20,Mon Nov 27 2017,10:30p ET,,Box Score,@,Golden State Warriors,W,,110,106,6,14,W 1,
21,Tue Nov 28 2017,10:00p ET,,Box Score,,Milwaukee Bucks,L,,87,112,6,15,L 1,
22,Fri Dec 1 2017,8:00p ET,,Box Score,@,Chicago Bulls,W,,107,106,7,15,W 1,
23,Sat Dec 2 2017,8:30p ET,,Box Score,@,Milwaukee Bucks,L,,104,109,7,16,L 1,
24,Wed Dec 6 2017,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,95,101,7,17,L 2,
25,Fri Dec 8 2017,8:00p ET,,Box Score,@,New Orleans Pelicans,W,OT,116,109,8,17,W 1,
