G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
59,Wed Mar 1 2017,10:30p ET,,Box Score,@,Sacramento Kings,W,,109,100,10,49,W 1,
60,Fri Mar 3 2017,9:00p ET,,Box Score,@,Utah Jazz,L,,97,112,10,50,L 1,
61,Sat Mar 4 2017,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,116,130,10,51,L 2,
62,Mon Mar 6 2017,8:00p ET,,Box Score,@,Memphis Grizzlies,W,,122,109,11,51,W 1,
63,Wed Mar 8 2017,7:30p ET,,Box Score,@,Atlanta Hawks,L,,105,110,11,52,L 1,
64,Fri Mar 10 2017,9:00p ET,,Box Score,@,Dallas Mavericks,L,,96,105,11,53,L 2,
65,Sun Mar 12 2017,6:00p ET,,Box Score,,New York Knicks,W,,120,112,12,53,W 1,
66,Tue Mar 14 2017,7:30p ET,,Box Score,,Oklahoma City Thunder,L,,104,122,12,54,L 1,
67,Thu Mar 16 2017,7:30p ET,,Box Score,@,New York Knicks,W,,121,110,13,54,W 1,
68,Fri Mar 17 2017,7:30p ET,,Box Score,,Boston Celtics,L,,95,98,13,55,L 1,
69,Sun Mar 19 2017,12:00p ET,,Box Score,,Dallas Mavericks,L,,104,111,13,56,L 2,
70,Tue Mar 21 2017,7:30p ET,,Box Score,,Detroit Pistons,W,,98,96,14,56,W 1,
71,Thu Mar 23 2017,7:30p ET,,Box Score,,Phoenix Suns,W,,126,98,15,56,W 2,
72,Fri Mar 24 2017,7:00p ET,,Box Score,@,Washington Wizards,L,,108,129,15,57,L 1,
73,Sun Mar 26 2017,1:00p ET,,Box Score,@,Atlanta Hawks,W,,107,92,16,57,W 1,
74,Tue Mar 28 2017,7:30p ET,,Box Score,,Philadelphia 76ers,L,,101,106,16,58,L 1,
75,Thu Mar 30 2017,7:30p ET,,Box Score,@,Detroit Pistons,L,,89,90,16,59,L 2,
76,Sat Apr 1 2017,6:00p ET,,Box Score,,Orlando Magic,W,,121,111,17,59,W 1,
77,Sun Apr 2 2017,6:00p ET,,Box Score,,Atlanta Hawks,W,,91,82,18,59,W 2,
78,Tue Apr 4 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,W,,141,118,19,59,W 3,
79,Thu Apr 6 2017,7:00p ET,,Box Score,@,Orlando Magic,L,,107,115,19,60,L 1,
80,Sat Apr 8 2017,5:00p ET,,Box Score,,Chicago Bulls,W,,107,106,20,60,W 1,
81,Mon Apr 10 2017,7:30p ET,,Box Score,@,Boston Celtics,L,,105,114,20,61,L 1,
82,Wed Apr 12 2017,8:00p ET,,Box Score,@,Chicago Bulls,L,,73,112,20,62,L 2,
1,Wed Oct 18 2017,7:00p ET,,Box Score,@,Indiana Pacers,L,,131,140,0,1,L 1,
2,Fri Oct 20 2017,7:30p ET,,Box Score,,Orlando Magic,W,,126,121,1,1,W 1,
3,Sun Oct 22 2017,3:30p ET,,Box Score,,Atlanta Hawks,W,,116,104,2,1,W 2,
4,Tue Oct 24 2017,7:00p ET,,Box Score,@,Orlando Magic,L,,121,125,2,2,L 1,
5,Wed Oct 25 2017,7:30p ET,,Box Score,,Cleveland Cavaliers,W,,112,107,3,2,W 1,
6,Fri Oct 27 2017,7:30p ET,,Box Score,@,New York Knicks,L,,86,107,3,3,L 1,
7,Sun Oct 29 2017,6:00p ET,,Box Score,,Denver Nuggets,L,,111,124,3,4,L 2,
8,Tue Oct 31 2017,7:30p ET,,Box Score,,Phoenix Suns,L,,114,122,3,5,L 3,
9,Fri Nov 3 2017,10:30p ET,,Box Score,@,Los Angeles Lakers,L,,112,124,3,6,L 4,
10,Mon Nov 6 2017,9:00p ET,,Box Score,@,Phoenix Suns,W,,98,92,4,6,W 1,
11,Tue Nov 7 2017,9:00p ET,,Box Score,@,Denver Nuggets,L,,104,112,4,7,L 1,
12,Fri Nov 10 2017,10:00p ET,,Box Score,@,Portland Trail Blazers,W,,101,97,5,7,W 1,
13,Sat Nov 11 2017,9:00p ET,,Box Score,@,Utah Jazz,L,,106,114,5,8,L 1,
14,Tue Nov 14 2017,7:30p ET,,Box Score,,Boston Celtics,L,,102,109,5,9,L 2,
15,Fri Nov 17 2017,7:30p ET,,Box Score,,Utah Jazz,W,,118,107,6,9,W 1,
16,Sun Nov 19 2017,6:00p ET,,Box Score,,Golden State Warriors,L,,111,118,6,10,L 1,
17,Wed Nov 22 2017,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,109,119,6,11,L 2,
18,Fri Nov 24 2017,12:00p ET,,Box Score,,Portland Trail Blazers,L,,125,127,6,12,L 3,
19,Sun Nov 26 2017,6:00p ET,,Box Score,@,Memphis Grizzlies,W,,98,88,7,12,W 1,
20,Mon Nov 27 2017,8:00p ET,,Box Score,@,Houston Rockets,L,,103,117,7,13,L 1,
21,Wed Nov 29 2017,8:30p ET,,Box Score,@,Dallas Mavericks,W,,109,104,8,13,W 1,
