G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
59,Wed Mar 1 2017,8:00p ET,,Box Score,@,Boston Celtics,L,,99,103,41,18,L 1,
60,Fri Mar 3 2017,7:00p ET,,Box Score,@,Atlanta Hawks,W,,135,130,42,18,W 1,
61,Sat Mar 4 2017,8:00p ET,,Box Score,@,Miami Heat,L,,92,120,42,19,L 1,
62,Mon Mar 6 2017,7:00p ET,,Box Score,,Miami Heat,L,,98,106,42,20,L 2,
63,Thu Mar 9 2017,7:30p ET,,Box Score,@,Detroit Pistons,L,,101,106,42,21,L 3,
64,Sat Mar 11 2017,7:00p ET,,Box Score,@,Orlando Magic,W,,116,104,43,21,W 1,
65,Sun Mar 12 2017,9:00p ET,,Box Score,@,Houston Rockets,L,,112,117,43,22,L 1,
66,Tue Mar 14 2017,7:00p ET,,Box Score,,Detroit Pistons,W,,128,96,44,22,W 1,
67,Thu Mar 16 2017,7:00p ET,,Box Score,,Utah Jazz,W,,91,83,45,22,W 2,
68,Sat Mar 18 2017,8:30p ET,,Box Score,@,Los Angeles Clippers,L,,78,108,45,23,L 1,
69,Sun Mar 19 2017,9:30p ET,,Box Score,@,Los Angeles Lakers,W,,125,120,46,23,W 1,
70,Wed Mar 22 2017,9:00p ET,,Box Score,@,Denver Nuggets,L,,113,126,46,24,L 1,
71,Fri Mar 24 2017,7:00p ET,,Box Score,@,Charlotte Hornets,W,,112,105,47,24,W 1,
72,Sat Mar 25 2017,7:30p ET,,Box Score,,Washington Wizards,L,,115,127,47,25,L 1,
73,Mon Mar 27 2017,8:00p ET,,Box Score,@,San Antonio Spurs,L,,74,103,47,26,L 2,
74,Thu Mar 30 2017,8:00p ET,,Box Score,@,Chicago Bulls,L,,93,99,47,27,L 3,
75,Fri Mar 31 2017,7:30p ET,,Box Score,,Philadelphia 76ers,W,,122,105,48,27,W 1,
76,Sun Apr 2 2017,6:00p ET,,Box Score,,Indiana Pacers,W,2OT,135,130,49,27,W 2,
77,Tue Apr 4 2017,7:00p ET,,Box Score,,Orlando Magic,W,,122,102,50,27,W 3,
78,Wed Apr 5 2017,8:00p ET,,Box Score,@,Boston Celtics,W,,114,91,51,27,W 4,
79,Fri Apr 7 2017,7:30p ET,,Box Score,,Atlanta Hawks,L,,100,114,51,28,L 1,
80,Sun Apr 9 2017,3:30p ET,,Box Score,@,Atlanta Hawks,L,OT,125,126,51,29,L 2,
81,Mon Apr 10 2017,7:30p ET,,Box Score,@,Miami Heat,L,OT,121,124,51,30,L 3,
82,Wed Apr 12 2017,8:00p ET,,Box Score,,Toronto Raptors,L,,83,98,51,31,L 4,
1,Tue Oct 17 2017,8:01p ET,,Box Score,,Boston Celtics,W,,102,99,1,0,W 1,
2,Fri Oct 20 2017,7:00p ET,,Box Score,@,Milwaukee Bucks,W,,116,97,2,0,W 2,
3,Sat Oct 21 2017,8:00p ET,,Box Score,,Orlando Magic,L,,93,114,2,1,L 1,
4,Tue Oct 24 2017,7:00p ET,,Box Score,,Chicago Bulls,W,,119,112,3,1,W 1,
5,Wed Oct 25 2017,7:30p ET,,Box Score,@,Brooklyn Nets,L,,107,112,3,2,L 1,
6,Sat Oct 28 2017,7:00p ET,,Box Score,@,New Orleans Pelicans,L,,101,123,3,3,L 2,
7,Sun Oct 29 2017,7:00p ET,,Box Score,,New York Knicks,L,,95,114,3,4,L 3,
8,Wed Nov 1 2017,7:00p ET,,Box Score,,Indiana Pacers,L,,107,124,3,5,L 4,
9,Fri Nov 3 2017,7:00p ET,,Box Score,@,Washington Wizards,W,,130,122,4,5,W 1,
10,Sun Nov 5 2017,3:00p ET,,Box Score,,Atlanta Hawks,L,,115,117,4,6,L 1,
11,Tue Nov 7 2017,7:00p ET,,Box Score,,Milwaukee Bucks,W,,124,119,5,6,W 1,
12,Thu Nov 9 2017,8:00p ET,,Box Score,@,Houston Rockets,L,,113,117,5,7,L 1,
13,Sat Nov 11 2017,8:30p ET,,Box Score,@,Dallas Mavericks,W,,111,104,6,7,W 1,
14,Mon Nov 13 2017,7:30p ET,,Box Score,@,New York Knicks,W,,104,101,7,7,W 2,
15,Wed Nov 15 2017,8:00p ET,,Box Score,@,Charlotte Hornets,W,,115,107,8,7,W 3,
16,Fri Nov 17 2017,7:30p ET,,Box Score,,Los Angeles Clippers,W,OT,118,113,9,7,W 4,
17,Mon Nov 20 2017,7:00p ET,,Box Score,@,Detroit Pistons,W,,116,88,10,7,W 5,
18,Wed Nov 22 2017,7:00p ET,,Box Score,,Brooklyn Nets,W,,119,109,11,7,W 6,
19,Fri Nov 24 2017,8:00p ET,,Box Score,,Charlotte Hornets,W,,100,99,12,7,W 7,
20,Mon Nov 27 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,W,,113,91,13,7,W 8,
21,Tue Nov 28 2017,7:00p ET,,Box Score,,Miami Heat,W,,108,97,14,7,W 9,
22,Thu Nov 30 2017,7:30p ET,,Box Score,@,Atlanta Hawks,W,,121,114,15,7,W 10,
23,Sat Dec 2 2017,7:30p ET,,Box Score,,Memphis Grizzlies,W,,116,111,16,7,W 11,
24,Mon Dec 4 2017,8:00p ET,,Box Score,@,Chicago Bulls,W,,113,91,17,7,W 12,
25,Wed Dec 6 2017,7:00p ET,,Box Score,,Sacramento Kings,W,,101,95,18,7,W 13,
26,Fri Dec 8 2017,7:00p ET,,Box Score,@,Indiana Pacers,L,,102,106,18,8,L 1,
27,Sat Dec 9 2017,8:00p ET,,Box Score,,Philadelphia 76ers,W,,105,98,19,8,W 1,
28,Tue Dec 12 2017,7:00p ET,,Box Score,,Atlanta Hawks,W,,123,114,20,8,W 2,
29,Thu Dec 14 2017,8:00p ET,,Box Score,,Los Angeles Lakers,W,,121,112,21,8,W 3,
30,Sat Dec 16 2017,7:30p ET,,Box Score,,Utah Jazz,W,,109,100,22,8,W 4,
31,Sun Dec 17 2017,6:00p ET,,Box Score,@,Washington Wizards,W,,106,99,23,8,W 5,
