G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
59,Mon Feb 27 2017,8:30p ET,,Box Score,,Miami Heat,W,,96,89,24,35,W 2,
60,Wed Mar 1 2017,7:30p ET,,Box Score,@,Atlanta Hawks,L,,95,100,24,36,L 1,
61,Fri Mar 3 2017,8:30p ET,,Box Score,,Memphis Grizzlies,W,,104,100,25,36,W 1,
62,Sun Mar 5 2017,8:30p ET,,Box Score,,Oklahoma City Thunder,W,,104,89,26,36,W 2,
63,Tue Mar 7 2017,8:30p ET,,Box Score,,Los Angeles Lakers,W,,122,111,27,36,W 3,
64,Fri Mar 10 2017,9:00p ET,,Box Score,,Brooklyn Nets,W,,105,96,28,36,W 4,
65,Sat Mar 11 2017,9:00p ET,,Box Score,,Phoenix Suns,L,,98,100,28,37,L 1,
66,Mon Mar 13 2017,7:30p ET,,Box Score,@,Toronto Raptors,L,,78,100,28,38,L 2,
67,Wed Mar 15 2017,7:00p ET,,Box Score,@,Washington Wizards,W,,112,107,29,38,W 1,
68,Fri Mar 17 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,L,,74,116,29,39,L 1,
69,Sun Mar 19 2017,12:00p ET,,Box Score,@,Brooklyn Nets,W,,111,104,30,39,W 1,
70,Tue Mar 21 2017,8:30p ET,,Box Score,,Golden State Warriors,L,,87,112,30,40,L 1,
71,Thu Mar 23 2017,8:30p ET,,Box Score,,Los Angeles Clippers,W,,97,95,31,40,W 1,
72,Sat Mar 25 2017,8:30p ET,,Box Score,,Toronto Raptors,L,,86,94,31,41,L 1,
73,Mon Mar 27 2017,8:30p ET,,Box Score,,Oklahoma City Thunder,L,,91,92,31,42,L 2,
74,Wed Mar 29 2017,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,118,121,31,43,L 3,
75,Fri Mar 31 2017,8:00p ET,,Box Score,@,Memphis Grizzlies,L,,90,99,31,44,L 4,
76,Sun Apr 2 2017,3:30p ET,,Box Score,@,Milwaukee Bucks,W,,109,105,32,44,W 1,
77,Tue Apr 4 2017,10:30p ET,,Box Score,@,Sacramento Kings,L,,87,98,32,45,L 1,
78,Wed Apr 5 2017,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,101,112,32,46,L 2,
