Category: All categories

Day,Atlanta Hawks: (Worldwide),Boston Celtics: (Worldwide),Brooklyn Nets: (Worldwide),Charlotte Hornets: (Worldwide),Chicago Bulls: (Worldwide)
2017-10-01,1,5,1,1,4
2017-10-02,1,6,1,1,3
2017-10-03,1,11,2,2,3
2017-10-04,2,5,3,1,5
2017-10-05,3,5,2,1,5
2017-10-06,1,5,3,1,3
2017-10-07,1,8,1,1,5
2017-10-08,1,5,2,1,4
2017-10-09,1,6,2,1,4
2017-10-10,1,7,2,1,4
2017-10-11,1,6,2,1,7
2017-10-12,1,8,3,2,4
2017-10-13,1,5,1,2,4
2017-10-14,1,5,1,1,5
2017-10-15,1,5,2,1,4
2017-10-16,1,7,2,1,3
2017-10-17,1,20,2,1,5
2017-10-18,2,100,2,2,9
2017-10-19,3,26,4,2,7
2017-10-20,2,12,3,2,8
2017-10-21,2,15,3,2,6
2017-10-22,2,8,4,1,7
2017-10-23,2,7,3,2,4
2017-10-24,2,8,3,2,6
2017-10-25,1,12,4,2,9
2017-10-26,2,8,7,2,5
2017-10-27,2,15,3,2,7
2017-10-28,2,7,3,2,5
2017-10-29,2,12,2,2,7
2017-10-30,2,8,2,2,4
2017-10-31,1,13,2,2,3
2017-11-01,1,8,3,2,4
2017-11-02,2,13,2,2,5
2017-11-03,1,9,2,1,5
2017-11-04,2,22,5,2,6
2017-11-05,4,11,2,1,6
2017-11-06,3,14,2,2,4
2017-11-07,3,18,3,2,4
2017-11-08,1,12,2,2,5
2017-11-09,1,28,1,1,4
2017-11-10,1,11,2,1,4
2017-11-11,2,24,2,3,5
2017-11-12,1,20,2,1,5
2017-11-13,1,13,2,1,3
2017-11-14,1,11,2,1,3
2017-11-15,1,25,5,2,4
2017-11-16,2,16,2,5,5
2017-11-17,1,62,2,2,4
2017-11-18,2,15,2,2,6
2017-11-19,3,26,3,2,4
2017-11-20,1,12,3,1,5
2017-11-21,2,29,1,2,4
2017-11-22,1,14,2,1,9
2017-11-23,2,26,3,2,4
2017-11-24,1,10,2,1,3
2017-11-25,2,20,1,4,8
2017-11-26,2,19,2,2,6
2017-11-27,1,9,2,1,4
2017-11-28,1,17,2,1,4
2017-11-29,1,8,1,1,5
2017-11-30,2,10,2,1,3
2017-12-01,4,16,1,1,5
2017-12-02,1,14,2,1,5
2017-12-03,1,9,1,1,4
2017-12-04,1,8,1,1,4
2017-12-05,1,14,2,2,6
2017-12-06,1,9,1,2,3
2017-12-07,1,15,3,3,5
2017-12-08,1,9,5,1,4
2017-12-09,1,20,3,2,6
2017-12-10,2,12,2,3,6
2017-12-11,2,10,2,1,4
2017-12-12,1,13,2,2,7
2017-12-13,2,7,3,1,4
2017-12-14,1,13,2,2,6
2017-12-15,2,8,3,2,4
2017-12-16,1,14,2,2,8
2017-12-17,1,12,2,1,4
2017-12-18,1,8,2,2,4
2017-12-19,2,14,2,2,9
2017-12-20,1,9,2,1,5
2017-12-21,1,14,2,2,9
2017-12-22,1,15,2,1,10
2017-12-23,2,8,2,2,5
2017-12-24,2,14,2,2,7
2017-12-25,1,16,1,1,5
2017-12-26,1,17,2,1,4
2017-12-27,1,8,2,2,8
2017-12-28,2,13,2,2,8
2017-12-29,1,25,2,1,5
2017-12-30,2,9,2,3,9
2017-12-31,2,10,2,1,7
2018-01-01,1,11,2,1,5
2018-01-02,1,7,2,1,6
2018-01-03,1,11,2,2,4
2018-01-04,1,30,3,1,6
2018-01-05,1,9,1,1,4
2018-01-06,1,17,2,2,7
2018-01-07,1,12,3,1,5
2018-01-08,2,7,2,1,4
2018-01-09,2,7,3,1,6
2018-01-10,1,7,2,1,4
2018-01-11,1,15,2,1,7
2018-01-12,1,10,1,1,4
2018-01-13,2,7,2,3,5
2018-01-14,1,6,2,2,9
2018-01-15,2,6,2,2,7
2018-01-16,1,8,2,1,6
2018-01-17,1,14,2,1,5
2018-01-18,1,8,2,2,13
2018-01-19,1,12,2,1,5
2018-01-20,2,6,2,2,6
2018-01-21,1,12,2,2,6
2018-01-22,1,6,2,1,4
2018-01-23,1,6,2,2,7
2018-01-24,1,14,2,1,4
2018-01-25,2,12,1,1,5
2018-01-26,1,6,1,1,5
2018-01-27,2,9,2,2,7
2018-01-28,1,29,2,1,7
2018-01-29,1,8,1,1,4
2018-01-30,2,13,2,1,5
2018-01-31,1,8,2,1,5
2018-02-01,1,14,2,1,8
2018-02-02,1,10,2,1,5
2018-02-03,2,15,2,2,7
2018-02-04,2,16,2,2,5
2018-02-05,1,9,1,1,4
2018-02-06,1,10,2,2,6
2018-02-07,1,14,3,2,4
2018-02-08,2,14,3,2,6
2018-02-09,3,18,2,2,5
2018-02-10,4,14,2,2,10
2018-02-11,2,30,2,2,6
2018-02-12,1,16,2,1,4
2018-02-13,1,7,2,1,6
2018-02-14,2,7,1,1,4
2018-02-15,1,12,2,1,5
2018-02-16,1,5,1,1,3
2018-02-17,1,5,1,1,4
2018-02-18,1,4,1,1,4
2018-02-19,1,4,1,1,3
2018-02-20,1,4,1,1,3
2018-02-21,1,4,1,1,3
2018-02-22,1,4,1,1,4
2018-02-23,1,5,2,2,6
2018-02-24,1,10,1,1,5
2018-02-25,1,11,1,2,5
2018-02-26,1,6,2,1,4
2018-02-27,2,9,2,1,4
2018-02-28,1,5,4,2,4
2018-03-01,1,10,1,2,3
2018-03-02,1,5,2,1,3
2018-03-03,3,7,1,2,6
2018-03-04,2,20,1,1,3
2018-03-05,1,5,2,1,4
2018-03-06,1,8,1,1,4
2018-03-07,1,5,3,2,3
2018-03-08,1,5,2,1,5
2018-03-09,1,14,2,1,3
2018-03-10,1,6,1,2,5
2018-03-11,2,7,2,1,4
2018-03-12,1,9,2,1,3
2018-03-13,1,5,2,1,3
2018-03-14,1,6,3,1,4
2018-03-15,1,12,1,1,3
2018-03-16,1,6,1,1,4
2018-03-17,1,7,2,1,4
2018-03-18,1,7,1,1,5
2018-03-19,1,6,1,1,3
2018-03-20,1,5,2,1,3
2018-03-21,2,12,2,1,4
2018-03-22,1,5,2,2,4
2018-03-23,2,5,1,3,4
2018-03-24,2,11,2,1,4
2018-03-25,1,8,5,2,4
2018-03-26,1,8,2,1,3
2018-03-27,1,8,1,2,3
2018-03-28,1,6,1,2,4
2018-03-29,1,11,1,4,4
2018-03-30,2,6,1,1,4
2018-03-31,2,7,1,2,4
2018-04-01,1,13,2,3,4
2018-04-02,1,6,2,1,3
2018-04-03,1,6,1,1,3
2018-04-04,2,11,1,1,4
2018-04-05,1,11,1,1,3
2018-04-06,1,6,2,1,3
2018-04-07,1,8,1,1,4
2018-04-08,2,8,2,2,4
2018-04-09,1,5,1,1,3
2018-04-10,1,5,2,1,3
2018-04-11,1,9,1,1,3
2018-04-12,1,9,1,1,4
2018-04-13,1,5,1,1,3
2018-04-14,1,6,1,1,3
2018-04-15,1,35,1,1,3
2018-04-16,1,10,1,1,2
2018-04-17,1,9,1,1,3
2018-04-18,1,22,1,1,2
2018-04-19,1,9,1,1,2
2018-04-20,1,10,1,1,3
2018-04-21,1,24,1,1,3
2018-04-22,1,26,1,1,3
2018-04-23,1,9,1,1,2
2018-04-24,1,14,1,1,2
2018-04-25,1,24,1,1,2
2018-04-26,1,14,1,1,3
2018-04-27,1,30,1,1,2
2018-04-28,1,18,1,1,3
2018-04-29,1,51,1,1,3
2018-04-30,1,16,1,1,2
2018-05-01,1,41,1,1,2
