Category: All categories

Day,Atlanta Hawks: (Worldwide),Sacramento Kings: (Worldwide),San Antonio Spurs: (Worldwide),Toronto Raptors: (Worldwide),Utah Jazz: (Worldwide)
2018-04-01,4,9,42,25,7
2018-04-02,4,6,21,11,10
2018-04-03,3,3,16,17,5
2018-04-04,5,4,27,29,13
2018-04-05,4,3,28,31,8
2018-04-06,3,3,14,14,13
2018-04-07,3,4,18,25,7
2018-04-08,5,4,28,20,13
2018-04-09,3,3,13,19,13
2018-04-10,4,5,32,17,11
2018-04-11,4,4,16,16,25
2018-04-12,3,8,33,27,25
2018-04-13,2,3,17,16,8
2018-04-14,2,7,79,65,7
2018-04-15,3,3,29,50,24
2018-04-16,2,5,20,18,22
2018-04-17,2,2,71,33,7
2018-04-18,2,5,17,53,11
2018-04-19,2,2,49,19,38
2018-04-20,2,2,64,24,9
2018-04-21,2,3,28,56,14
2018-04-22,2,2,70,49,55
2018-04-23,2,2,32,42,17
2018-04-24,2,1,21,22,72
2018-04-25,2,2,77,38,23
2018-04-26,3,2,15,74,70
2018-04-27,2,1,12,36,18
2018-04-28,2,2,10,80,100
2018-04-29,2,2,11,37,50
2018-04-30,2,1,11,31,18
2018-05-01,2,2,8,48,12
