Category: All categories

Day,Atlanta Hawks: (Worldwide),Los Angeles Lakers: (Worldwide),Memphis Grizzlies: (Worldwide),Miami Heat: (Worldwide),Milwaukee Bucks: (Worldwide)
2018-04-01,3,17,1,13,15
2018-04-02,3,21,2,7,15
2018-04-03,2,15,1,8,10
2018-04-04,4,19,1,13,14
2018-04-05,3,31,1,11,11
2018-04-06,2,15,2,8,14
2018-04-07,3,23,2,10,13
2018-04-08,4,19,3,8,14
2018-04-09,2,15,1,9,10
2018-04-10,3,14,2,13,12
2018-04-11,3,34,1,8,11
2018-04-12,3,31,3,18,20
2018-04-13,2,15,1,8,12
2018-04-14,2,12,1,13,13
2018-04-15,2,13,1,33,48
2018-04-16,2,11,1,11,15
2018-04-17,1,10,1,39,13
2018-04-18,1,10,1,11,27
2018-04-19,2,11,1,17,13
2018-04-20,1,13,1,36,15
2018-04-21,1,12,1,39,41
2018-04-22,2,12,1,16,49
2018-04-23,1,11,1,10,20
2018-04-24,1,11,1,12,23
2018-04-25,1,11,1,34,32
2018-04-26,2,11,1,7,20
2018-04-27,2,10,1,5,49
2018-04-28,2,12,1,4,28
2018-04-29,2,13,1,5,65
2018-04-30,2,10,1,4,12
2018-05-01,1,12,1,4,16
