Category: All categories

Day,Atlanta Hawks: (Worldwide),Orlando Magic: (Worldwide),Philadelphia 76ers: (Worldwide),Phoenix Suns: (Worldwide),Portland Trail Blazers: (Worldwide)
2018-04-01,3,2,20,4,5
2018-04-02,3,2,10,7,8
2018-04-03,2,2,12,3,4
2018-04-04,4,3,19,4,6
2018-04-05,3,2,19,3,4
2018-04-06,2,2,21,3,8
2018-04-07,3,2,57,5,5
2018-04-08,4,2,29,3,9
2018-04-09,2,2,19,6,5
2018-04-10,4,2,17,3,9
2018-04-11,3,2,30,3,6
2018-04-12,3,3,44,3,17
2018-04-13,2,2,16,2,5
2018-04-14,2,1,28,3,8
2018-04-15,2,2,88,3,30
2018-04-16,2,1,28,3,6
2018-04-17,1,1,73,3,6
2018-04-18,1,1,16,2,26
2018-04-19,2,1,30,3,7
2018-04-20,1,1,65,2,21
2018-04-21,2,1,75,3,20
2018-04-22,2,1,33,3,17
2018-04-23,2,1,22,2,5
2018-04-24,2,2,32,2,4
2018-04-25,1,1,100,2,2
2018-04-26,2,2,17,2,2
2018-04-27,2,2,12,2,3
2018-04-28,2,1,14,3,3
2018-04-29,2,2,28,2,3
2018-04-30,2,1,34,2,2
2018-05-01,2,1,73,3,1
