Category: All categories

Day,Atlanta Hawks: (Worldwide),Cleveland Cavaliers: (Worldwide),Dallas Mavericks: (Worldwide),Denver Nuggets: (Worldwide),Detroit Pistons: (Worldwide)
2018-04-01,1,11,1,1,2
2018-04-02,1,10,1,2,1
2018-04-03,1,9,1,1,1
2018-04-04,1,13,1,1,1
2018-04-05,1,8,1,1,1
2018-04-06,1,18,1,2,1
2018-04-07,1,20,1,2,1
2018-04-08,1,8,1,2,1
2018-04-09,1,7,1,2,1
2018-04-10,1,12,1,4,1
2018-04-11,1,9,1,3,1
2018-04-12,1,15,1,8,1
2018-04-13,<1,7,1,1,1
2018-04-14,<1,7,1,1,1
2018-04-15,1,37,1,1,1
2018-04-16,<1,14,1,<1,<1
2018-04-17,<1,10,1,<1,1
2018-04-18,<1,21,1,<1,<1
2018-04-19,<1,36,1,<1,1
2018-04-20,<1,15,1,<1,1
2018-04-21,<1,36,1,<1,1
2018-04-22,<1,18,1,<1,<1
2018-04-23,<1,42,<1,<1,1
2018-04-24,<1,12,<1,<1,1
2018-04-25,<1,19,<1,<1,1
2018-04-26,1,42,1,<1,1
2018-04-27,<1,17,<1,<1,1
2018-04-28,<1,57,<1,<1,1
2018-04-29,<1,100,1,<1,1
2018-04-30,<1,23,<1,<1,1
2018-05-01,<1,18,1,<1,1
