Category: All categories

Day,Atlanta Hawks: (Worldwide),Minnesota Timberwolves: (Worldwide),New Orleans Pelicans: (Worldwide),New York Knicks: (Worldwide),Oklahoma City Thunder: (Worldwide)
2018-04-01,3,7,6,8,15
2018-04-02,3,7,5,6,14
2018-04-03,3,4,2,7,12
2018-04-04,4,4,3,8,30
2018-04-05,3,5,5,5,11
2018-04-06,2,14,3,7,9
2018-04-07,3,15,7,11,13
2018-04-08,5,6,10,9,37
2018-04-09,3,7,4,7,14
2018-04-10,4,21,12,12,26
2018-04-11,4,17,5,6,16
2018-04-12,3,58,11,15,36
2018-04-13,2,8,4,8,13
2018-04-14,2,9,6,6,13
2018-04-15,2,12,24,7,33
2018-04-16,2,35,5,6,35
2018-04-17,1,8,6,6,13
2018-04-18,2,10,28,5,19
2018-04-19,2,25,9,7,46
2018-04-20,1,6,33,7,12
2018-04-21,2,11,34,6,19
2018-04-22,2,33,31,6,47
2018-04-23,2,13,10,6,17
2018-04-24,2,29,7,6,66
2018-04-25,1,7,16,6,22
2018-04-26,3,24,10,5,82
2018-04-27,2,4,8,5,22
2018-04-28,2,4,15,6,100
2018-04-29,2,3,58,6,19
2018-04-30,2,2,12,6,10
2018-05-01,2,2,11,6,8
