DATE TIME AWAY HOME BROADCAST
2018-01-20 3:30PM OKC CLE ABC
2018-01-20 8:30PM GSW HOU ABC
2018-01-22 8:00PM MIA HOU NBATV
2018-01-22 10:30PM MIN LAC NBATV
2018-01-23 8:00PM CLE SAS TNT
2018-01-23 10:30PM BOS LAL TNT
2018-01-24 8:00PM HOU DAL ESPN
2018-01-24 10:30PM BOS LAC ESPN
2018-01-25 8:00PM WAS OKC TNT
2018-01-25 10:30PM MIN GSW TNT
2018-01-26 8:00PM HOU NOP ESPN
2018-01-27 8:30PM BOS GSW ABC
2018-01-28 3:30PM PHX HOU NBATV
2018-01-28 6:00PM PHI OKC ESPN
2018-01-29 9:00PM BOS DEN NBATV
2018-01-30 8:00PM CLE DET TNT
2018-01-30 10:30PM POR LAC TNT
2018-01-31 8:00PM NYK BOS ESPN
2018-01-31 10:30PM DAL PHX ESPN
2018-02-1 8:00PM HOU SAS TNT
2018-02-1 10:30PM OKC DEN TNT
2018-02-2 8:00PM MIA PHI ESPN
2018-02-2 10:30PM GSW SAC ESPN
2018-02-3 8:30PM HOU CLE ABC
2018-02-4 2:00PM LAL OKC ABC
2018-02-5 7:00PM POR DET NBATV
2018-02-5 10:30PM DAL LAC NBATV
2018-02-6 8:00PM WAS PHI TNT
2018-02-6 10:30PM OKC GSW TNT
2018-02-7 8:00PM MIN CLE ESPN
2018-02-7 10:30PM SAS PHX ESPN
2018-02-8 8:00PM BOS WAS TNT
2018-02-8 10:30PM OKC LAL TNT
2018-02-9 7:00PM LAC DET ESPN
2018-02-9 9:30PM MIN CHI ESPN
2018-02-10 8:30PM SAS GSW ABC
2018-02-11 3:30PM CLE BOS ABC
2018-02-11 7:00PM DAL HOU NBATV
2018-02-12 7:00PM NYK PHI NBATV
2018-02-12 10:30PM PHX GSW NBATV
2018-02-13 8:00PM CLE OKC TNT
2018-02-13 10:30PM SAS DEN TNT
2018-02-14 8:00PM LAC BOS ESPN
2018-02-14 10:30PM GSW POR ESPN
2018-02-15 9:00PM LAL MIN TNT
2018-02-22 8:00PM WAS CLE TNT
2018-02-22 10:30PM LAC GSW TNT
2018-02-23 8:00PM MIN HOU ESPN
2018-02-23 10:30PM DAL LAL ESPN
2018-02-24 8:30PM OKC GSW ABC
2018-02-25 3:30PM SAS CLE ABC
2018-02-25 8:00PM PHI WAS ESPN
2018-02-26 7:30PM GSW NYK NBATV
2018-02-26 10:00PM MIN SAC NBATV
2018-02-27 8:00PM WAS MIL TNT
2018-02-27 10:30PM LAC DEN TNT
2018-02-28 8:00PM GSW WAS ESPN
2018-02-28 10:30PM HOU LAC ESPN
2018-03-1 8:00PM PHI CLE TNT
2018-03-1 10:30PM MIN POR TNT
2018-03-2 8:00PM TOR WAS ESPN
2018-03-2 10:30PM MIN UTA ESPN
2018-03-3 8:30PM BOS HOU ABC
2018-03-4 8:00PM PHI MIL ESPN
2018-03-5 7:00PM DET CLE NBATV
2018-03-5 10:30PM POR LAL NBATV
2018-03-6 8:00PM HOU OKC TNT
2018-03-6 10:30PM NOP LAC TNT
2018-03-7 8:00PM TOR DET ESPN
2018-03-7 10:30PM CLE DEN ESPN
2018-03-8 8:00PM BOS MIN TNT
2018-03-8 10:30PM SAS GSW TNT
2018-03-9 8:00PM WAS NOP NBATV
2018-03-9 10:30PM CLE LAC NBATV
2018-03-10 8:30PM SAS OKC ABC
2018-03-11 3:30PM GSW MIN ABC
2018-03-11 9:00PM CLE LAL ESPN
2018-03-12 8:00PM SAS HOU ESPN
2018-03-12 10:30PM MIA POR ESPN
2018-03-13 7:00PM MIN WAS NBATV
2018-03-13 10:30PM DEN LAL NBATV
2018-03-14 8:00PM WAS BOS ESPN
2018-03-14 10:30PM LAL GSW ESPN
2018-03-15 8:00PM LAC HOU NBATV
2018-03-16 8:00PM LAC OKC NBATV
2018-03-16 10:30PM MIA LAL NBATV
2018-03-17 8:30PM MIN SAS NBATV
2018-03-18 7:00PM HOU MIN NBATV
2018-03-18 10:30PM POR LAC NBATV
2018-03-19 7:00PM MIL CLE ESPN
2018-03-19 9:30PM GSW SAS ESPN
2018-03-20 8:00PM OKC BOS TNT
2018-03-20 10:30PM HOU POR TNT
2018-03-21 7:00PM TOR CLE ESPN
2018-03-21 9:30PM WAS SAS ESPN
2018-03-22 7:00PM PHI ORL NBATV
2018-03-22 10:00PM ATL SAC NBATV
2018-03-23 7:00PM DEN WAS NBATV
2018-03-23 10:00PM BOS POR NBATV
2018-03-24 8:00PM NOP HOU NBATV
2018-03-25 1:00PM CLE BKN NBATV
2018-03-25 6:00PM NYK WAS NBATV
2018-03-25 8:30PM UTA GSW NBATV
2018-03-26 7:00PM DEN PHI NBATV
2018-03-26 10:00PM BOS PHX NBATV
2018-03-27 8:00PM CLE MIA TNT
2018-03-27 10:30PM MIL LAC TNT
2018-03-28 7:00PM CLE CHA NBATV
2018-03-28 9:30PM BOS UTA ESPN
2018-03-29 8:00PM OKC SAS TNT
2018-03-29 10:30PM MIL GSW TNT
2018-03-30 8:00PM NOP CLE ESPN
2018-03-30 10:30PM LAC POR ESPN
2018-03-31 3:00PM CHA WAS NBATV
2018-03-31 7:30PM TOR BOS NBATV
2018-04-1 1:00PM PHI CHA NBATV
