DATE TIME AWAY HOME BROADCAST
2016-10-25 7:30PM NYK CLE TNT
2016-10-25 10:30PM SAS GSW TNT
2016-10-26 8:00PM OKC PHI ESPN
2016-10-26 10:30PM HOU LAL ESPN
2016-10-27 8:00PM BOS CHI TNT
2016-10-27 10:30PM LAC POR TNT
2016-10-28 7:00PM CLE TOR ESPN
2016-10-28 9:30PM GSW NOP ESPN
2016-10-29 8:00PM NOP SAS NBATV
2016-10-29 10:30PM MIN SAC NBATV
2016-10-30 8:00PM WAS MEM NBATV
2016-10-31 7:30PM DEN TOR NBATV
2016-11-1 6:00PM HOU CLE NBATV
2016-11-1 10:00PM GSW POR NBATV
2016-11-2 8:00PM CHI BOS ESPN
2016-11-2 10:30PM OKC LAC ESPN
2016-11-3 8:00PM BOS CLE TNT
2016-11-3 10:30PM OKC GSW TNT
2016-11-4 8:00PM NYK CHI ESPN
2016-11-4 10:30PM GSW LAL ESPN
2016-11-5 8:30PM LAC SAS NBATV
2016-11-6 7:00PM MIL DAL NBATV
2016-11-7 7:00PM UTA PHI NBATV
2016-11-8 7:00PM ATL CLE NBATV
2016-11-8 10:30PM NOP SAC NBATV
2016-11-9 7:00PM BKN NYK ESPN
2016-11-9 9:30PM HOU SAS ESPN
2016-11-10 8:00PM CHI MIA TNT
2016-11-10 10:30PM LAL SAC TNT
2016-11-11 8:00PM LAC OKC NBATV
2016-11-12 9:00PM DET DEN NBATV
2016-11-14 8:00PM PHI HOU NBATV
2016-11-15 7:00PM TOR CLE NBATV
2016-11-15 10:00PM CHI POR NBATV
2016-11-16 8:00PM GSW TOR ESPN
2016-11-16 10:30PM MEM LAC ESPN
2016-11-17 8:00PM PHI MIN TNT
2016-11-17 10:30PM CHI UTA TNT
2016-11-18 8:00PM GSW BOS ESPN
2016-11-18 10:30PM LAC SAC ESPN
2016-11-19 8:00PM MIN MEM NBATV
2016-11-19 10:30PM CHI LAC NBATV
2016-11-21 8:30PM DAL SAS NBATV
2016-11-22 7:30PM NOP ATL NBATV
2016-11-22 10:30PM OKC LAL NBATV
2016-11-23 7:00PM SAS CHA ESPN
2016-11-23 9:30PM MIN NOP ESPN
2016-11-25 7:30PM CHA NYK NBATV
2016-11-25 10:30PM GSW LAL NBATV
2016-11-26 7:00PM SAS WAS NBATV
2016-11-28 7:30PM BOS MIA NBATV
2016-11-29 9:00PM HOU UTA NBATV
2016-11-30 7:30PM DET BOS NBATV
2016-11-30 10:00PM IND POR NBATV
2016-12-1 8:00PM LAC CLE TNT
2016-12-1 10:30PM HOU GSW TNT
2016-12-2 8:00PM CLE CHI ESPN
2016-12-2 10:30PM HOU DEN ESPN
2016-12-3 9:00PM DEN UTA NBATV
2016-12-5 8:00PM BOS HOU NBATV
2016-12-6 8:00PM SAS MIN NBATV
2016-12-7 8:00PM CLE NYK ESPN
2016-12-7 10:30PM GSW LAC ESPN
2016-12-8 7:00PM MIN TOR TNT
2016-12-8 9:30PM SAS CHI TNT
2016-12-9 8:00PM HOU OKC ESPN
2016-12-9 10:30PM PHX LAL ESPN
2016-12-10 8:00PM MIA CHI NBATV
2016-12-10 10:30PM NOP LAC NBATV
2016-12-12 7:30PM WAS MIA NBATV
2016-12-12 10:30PM POR LAC NBATV
2016-12-13 8:00PM MIN CHI ESPN
2016-12-13 10:30PM OKC POR ESPN
2016-12-14 7:00PM IND MIA ESPN
2016-12-14 9:30PM BOS SAS ESPN
2016-12-15 8:00PM CHI MIL TNT
2016-12-15 10:30PM NYK GSW TNT
2016-12-16 8:00PM LAL PHI ESPN
2016-12-16 10:30PM DAL UTA ESPN
2016-12-17 10:30PM POR GSW NBATV
2016-12-19 8:00PM PHX MIN NBATV
2016-12-20 8:00PM SAS HOU NBATV
2016-12-20 10:30PM UTA GSW NBATV
2016-12-21 7:00PM MIL CLE NBATV
2016-12-21 10:00PM DAL POR NBATV
2016-12-22 8:00PM LAL MIA 
2016-12-22 10:30PM SAS LAC TNT
2016-12-23 7:30PM OKC BOS NBATV
2016-12-23 10:30PM DAL LAC NBATV
2016-12-25 12:00PM BOS NYK ESPN
2016-12-25 2:30PM GSW CLE ABC
2016-12-25 5:00PM CHI SAS ABC
2016-12-25 8:00PM MIN OKC ESPN
2016-12-25 10:30PM LAC LAL ESPN
2016-12-26 8:00PM IND CHI NBATV
2016-12-26 10:30PM DEN LAC NBATV
2016-12-27 7:30PM OKC MIA NBATV
2016-12-27 10:30PM UTA LAL NBATV
2016-12-28 8:00PM MIL DET NBATV
2016-12-28 10:30PM TOR GSW NBATV
2016-12-29 8:00PM BOS CLE TNT
2016-12-29 10:30PM DAL LAL TNT
2016-12-30 8:00PM LAC HOU NBATV
2016-12-31 8:00PM LAC OKC NBATV
2017-01-2 8:00PM CHA CHI NBATV
2017-01-3 7:30PM UTA BOS NBATV
