Category: All categories

Day,Atlanta Hawks: (Worldwide),Cleveland Cavaliers: (Worldwide),Dallas Mavericks: (Worldwide),Denver Nuggets: (Worldwide),Detroit Pistons: (Worldwide)
2017-04-01,3,16,2,2,2
2017-04-02,2,14,2,2,1
2017-04-03,2,20,2,2,1
2017-04-04,1,11,2,1,1
2017-04-05,1,19,2,2,2
2017-04-06,2,28,3,2,2
2017-04-07,4,12,2,2,1
2017-04-08,4,19,3,3,3
2017-04-09,7,25,2,5,2
2017-04-10,4,20,2,3,3
2017-04-11,3,26,5,1,4
2017-04-12,3,14,8,2,2
2017-04-13,4,25,2,2,2
2017-04-14,2,12,1,1,1
2017-04-15,2,53,2,1,2
2017-04-16,9,26,1,1,2
2017-04-17,3,26,1,1,1
2017-04-18,3,40,1,1,1
2017-04-19,4,14,1,1,1
2017-04-20,5,21,1,1,1
2017-04-21,3,56,1,1,1
2017-04-22,6,17,1,1,1
2017-04-23,5,52,1,1,1
2017-04-24,3,18,1,1,1
2017-04-25,8,11,1,1,1
2017-04-26,5,9,1,1,1
2017-04-27,6,8,1,1,1
2017-04-28,4,12,1,1,1
2017-04-29,8,11,1,1,1
2017-04-30,2,14,1,1,1
2017-05-01,1,24,1,1,1
