Category: All categories

Day,Atlanta Hawks: (Worldwide),Boston Celtics: (Worldwide),Brooklyn Nets: (Worldwide),Charlotte Hornets: (Worldwide),Chicago Bulls: (Worldwide)
2017-04-01,7,23,7,5,23
2017-04-02,6,25,8,6,24
2017-04-03,4,16,6,3,20
2017-04-04,3,13,6,4,14
2017-04-05,3,21,8,5,21
2017-04-06,6,43,5,4,15
2017-04-07,12,23,5,2,18
2017-04-08,10,18,9,5,22
2017-04-09,18,21,7,3,20
2017-04-10,10,18,5,3,16
2017-04-11,8,25,6,4,29
2017-04-12,10,19,6,3,21
2017-04-13,9,42,7,2,44
2017-04-14,5,16,3,2,17
2017-04-15,6,22,3,2,21
2017-04-16,26,74,3,2,48
2017-04-17,8,89,3,3,70
2017-04-18,8,27,3,2,29
2017-04-19,10,76,3,2,81
2017-04-20,14,21,3,2,28
2017-04-21,7,40,2,2,50
2017-04-22,15,69,3,2,74
2017-04-23,13,55,3,2,55
2017-04-24,8,70,3,2,61
2017-04-25,21,27,3,2,26
2017-04-26,13,34,3,2,34
2017-04-27,16,83,3,2,77
2017-04-28,11,33,2,2,32
2017-04-29,21,84,3,1,70
2017-04-30,5,100,3,2,18
2017-05-01,3,40,3,2,12
