Category: All categories

Day,Atlanta Hawks: (Worldwide),Minnesota Timberwolves: (Worldwide),New Orleans Pelicans: (Worldwide),New York Knicks: (Worldwide),Oklahoma City Thunder: (Worldwide)
2017-04-01,5,2,4,8,19
2017-04-02,4,3,3,11,14
2017-04-03,3,3,2,6,9
2017-04-04,2,4,2,6,7
2017-04-05,2,6,3,8,17
2017-04-06,4,2,1,6,19
2017-04-07,7,4,2,7,8
2017-04-08,8,3,3,6,30
2017-04-09,12,2,7,8,21
2017-04-10,7,5,2,5,15
2017-04-11,5,5,2,4,9
2017-04-12,6,19,3,6,13
2017-04-13,6,6,3,8,14
2017-04-14,4,3,1,6,7
2017-04-15,4,2,1,6,8
2017-04-16,16,2,1,6,16
2017-04-17,5,1,1,6,46
2017-04-18,5,1,1,5,9
2017-04-19,7,1,1,5,12
2017-04-20,9,1,1,4,38
2017-04-21,5,1,1,4,12
2017-04-22,10,1,1,4,42
2017-04-23,8,1,1,4,45
2017-04-24,6,1,1,4,19
2017-04-25,14,1,1,4,14
2017-04-26,9,1,1,4,48
2017-04-27,11,1,1,3,7
2017-04-28,7,1,1,3,4
2017-04-29,14,1,1,4,5
2017-04-30,4,1,1,4,4
2017-05-01,2,1,1,4,4
